BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Toronto DSB,Timberbank Jr PS,3,en,1,88%,88%,88%,65%,52%,65%,12%,12%,12%
Halton DSB,Sam Sherratt PS,3,en,1,88%,88%,88%,70%,61%,57%,12%,12%,12%
Hastings and Prince Edward DSB,Tweed Elementary School,3,en,1,100%,100%,100%,89%,80%,78%,0%,0%,0%
Thames Valley District School Board,Roch Carrier F.I. PS,3,en,1,97%,100%,100%,73%,52%,71%,0%,0%,0%
Lambton Kent District School Board,Bosanquet Central,3,en,1,100%,100%,100%,78%,50%,56%,0%,0%,0%
Toronto DSB,Tom Longboat Junior PS,3,en,1,93%,93%,93%,78%,70%,81%,7%,7%,7%
Halton DSB,Tom Thomson PS,3,en,1,100%,100%,100%,70%,68%,60%,0%,0%,0%
Toronto DSB,Topcliff PS,3,en,1,97%,100%,100%,39%,21%,43%,0%,0%,0%
York Region DSB,Beynon Fields PS,3,en,1,N/D,N/D,100%,N/D,N/D,85%,N/D,N/D,0%
DSB of Niagara,Peace Bridge Public School,3,en,1,88%,88%,88%,93%,96%,100%,12%,12%,12%
Simcoe County DSB,Tosorontio Central PS,3,en,1,98%,98%,98%,58%,42%,49%,2%,2%,2%
Grand Erie DSB,Echo Place School,3,en,1,94%,94%,94%,82%,88%,76%,6%,6%,6%
Simcoe County DSB,Tottenham PS,3,en,1,98%,98%,98%,67%,61%,56%,2%,2%,2%
Durham DSB,Jeanne Sauvé Public School,3,en,1,N/D,N/D,99%,N/D,N/D,65%,N/D,N/D,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Trille des Bois,3,fr,1,100%,100%,100%,87%,77%,80%,0%,0%,0%
Hamilton-Wentworth DSB,Cathy Wever Elem S,3,en,1,86%,86%,86%,56%,42%,42%,12%,12%,12%
Thames Valley District School Board,John P Robarts PS,3,en,1,96%,97%,91%,61%,56%,55%,0%,0%,0%
Thames Valley District School Board,Trafalgar PS,3,en,1,86%,86%,86%,28%,28%,17%,5%,5%,5%
Peel District School Board,Roberta Bondar PS,3,en,1,100%,100%,100%,64%,60%,60%,0%,0%,0%
Upper Canada DSB,Wellington ES,3,en,1,89%,89%,89%,81%,69%,81%,11%,11%,11%
Peel District School Board,Treeline Public School,3,en,1,92%,98%,98%,80%,75%,73%,2%,2%,2%
Peel District School Board,Trelawny PS,3,en,1,96%,96%,96%,64%,57%,52%,0%,0%,0%
Waterloo Region DSB,Trillium PS,3,en,1,96%,96%,96%,75%,62%,62%,4%,4%,4%
York Region DSB,Trillium Woods PS,3,en,1,97%,97%,98%,88%,78%,84%,3%,3%,2%
Limestone DSB,Truedell PS,3,en,1,92%,92%,92%,75%,79%,67%,8%,8%,8%
Toronto DSB,Tumpane PS,3,en,1,92%,92%,95%,59%,45%,61%,4%,4%,2%
Thames Valley District School Board,Tweedsmuir PS,3,en,1,90%,90%,90%,78%,47%,64%,10%,10%,10%
Toronto DSB,Twentieth Street Jr S,3,en,1,84%,84%,84%,69%,73%,69%,10%,0%,0%
Toronto DSB,Bowmore PS,3,en,1,97%,97%,97%,67%,47%,59%,0%,0%,0%
