BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Toronto DSB,Chalkfarm PS,3,en,1,100%,100%,100%,55%,30%,30%,0%,0%,0%
Waterloo Region DSB,Chalmers Street PS,3,en,1,87%,98%,98%,58%,51%,47%,0%,0%,0%
Renfrew County DSB,Champlain Discovery PS,3,en,1,95%,96%,96%,63%,35%,41%,3%,3%,3%
Algoma DSB,Chapleau PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Rainbow District School Board,Charles C McLean PS,3,en,1,93%,93%,93%,54%,62%,46%,7%,7%,7%
Toronto DSB,Charles E Webster Jr PS,3,en,1,90%,90%,90%,55%,39%,32%,10%,10%,10%
Toronto DSB,Charles G Fraser Jr PS,3,en,1,81%,81%,81%,59%,59%,64%,19%,19%,19%
Ottawa-Carleton DSB,Charles H Hulse PS,3,en,1,86%,86%,86%,34%,32%,32%,14%,14%,14%
York Region DSB,Charles Howitt PS,3,en,1,98%,98%,98%,60%,64%,62%,0%,0%,0%
Peel District School Board,Artesian Dr PS,3,en,1,94%,94%,94%,70%,59%,54%,3%,3%,3%
Trillium Lakelands DSB,Alexandra PS,3,en,1,95%,95%,95%,71%,43%,52%,0%,0%,0%
Toronto DSB,Charlottetown PS,3,en,1,93%,96%,96%,65%,73%,68%,4%,4%,4%
Toronto DSB,Chartland Jr PS,3,en,1,100%,100%,100%,76%,62%,71%,0%,0%,0%
Kawartha Pine Ridge DSB,C R Gummow PS,3,en,1,100%,100%,100%,83%,65%,59%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Marie-Curie,3,fr,1,100%,100%,100%,81%,74%,87%,0%,0%,0%
Bluewater DSB,Alexandra Community S,3,en,1,91%,91%,91%,77%,52%,55%,9%,9%,9%
Hamilton-Wentworth DSB,Chedoke,3,en,1,95%,95%,97%,77%,66%,61%,5%,5%,3%
Rainbow District School Board,Chelmsford Valley District Comp S,3,en,1,98%,98%,98%,53%,23%,32%,2%,2%,2%
Kawartha Pine Ridge DSB,Chemong PS,3,en,1,98%,98%,98%,70%,57%,54%,2%,2%,2%
Toronto DSB,Cherokee PS,3,en,1,100%,100%,100%,64%,50%,71%,0%,0%,0%
DSB of Niagara,Cherrywood Acres PS,3,en,1,83%,86%,83%,97%,90%,86%,14%,14%,14%
Waterloo Region DSB,Hillside Public School,3,en,1,95%,95%,95%,30%,15%,15%,5%,5%,5%
Toronto DSB,Chester PS,3,en,1,96%,96%,96%,81%,79%,50%,0%,0%,0%
Toronto DSB,Chester Le Jr PS,3,en,1,100%,100%,100%,46%,46%,15%,0%,0%,0%
Upper Canada DSB,Chesterville PS,3,en,1,96%,96%,96%,71%,50%,58%,4%,4%,4%
Toronto DSB,Chine Drive PS,3,en,1,100%,100%,100%,91%,82%,91%,0%,0%,0%
Thames Valley District School Board,Chippewa PS,3,en,1,92%,94%,92%,78%,72%,71%,4%,4%,4%
Toronto DSB,Church Street Jr PS,3,en,1,95%,95%,97%,81%,69%,70%,5%,5%,3%
Peel District School Board,Walnut Grove Public School,3,en,1,97%,97%,97%,76%,67%,67%,3%,3%,3%
Toronto DSB,Churchill PS,3,en,1,96%,96%,96%,81%,81%,88%,4%,4%,4%
Toronto DSB,Churchill Heights PS,3,en,1,87%,87%,87%,79%,73%,52%,13%,13%,13%
Rainbow District School Board,Churchill PS,3,en,1,87%,88%,88%,64%,54%,57%,12%,12%,10%
Peel District School Board,Churchill Meadows PS,3,en,1,97%,97%,97%,82%,73%,66%,3%,3%,3%
Ottawa-Carleton DSB,Churchill Alternative S,3,en,1,93%,93%,93%,93%,79%,61%,3%,3%,3%
Toronto DSB,Claireville Jr S,3,en,1,92%,92%,92%,59%,55%,45%,8%,8%,8%
Toronto DSB,Clairlea PS,3,en,1,83%,83%,89%,48%,36%,67%,10%,10%,7%
Thames Valley District School Board,Clara Brenton PS,3,en,1,97%,98%,97%,84%,84%,72%,2%,2%,2%
Limestone DSB,Clarendon Central PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Peel District School Board,Clark Blvd. PS,3,en,1,87%,88%,88%,55%,49%,49%,9%,9%,9%
Waterloo Region DSB,Clemens Mill PS,3,en,1,100%,100%,100%,68%,66%,60%,0%,0%,0%
Kawartha Pine Ridge DSB,Orono PS,3,en,1,100%,100%,100%,69%,65%,73%,0%,0%,0%
Waterloo Region DSB,Moffat Creek PS,3,en,1,98%,98%,98%,77%,70%,62%,2%,2%,2%
Greater Essex County DSB,A V Graham PS,3,en,1,94%,94%,94%,54%,41%,26%,6%,6%,6%
Toronto DSB,Alexmuir Jr PS,3,en,1,95%,95%,95%,72%,62%,72%,2%,2%,2%
Halton DSB,Clarksdale PS,3,en,1,100%,100%,100%,81%,71%,59%,0%,0%,0%
Peel District School Board,Clarkson PS,3,en,1,88%,94%,88%,64%,60%,57%,6%,6%,6%
Thames Valley District School Board,Cleardale PS,3,en,1,80%,82%,82%,58%,57%,59%,11%,11%,9%
York Region DSB,Clearmeadow Elementary Public School,3,en,1,100%,100%,100%,67%,60%,63%,0%,0%,0%
Simcoe County DSB,Clearview Meadows Elementary School,3,en,1,98%,98%,98%,83%,66%,76%,0%,0%,0%
Le C.S. public du Nord-Est de l'Ontario,ÉCOLE ÉLÉMENTAIRE PUBLIQUE DE HEARST,3,fr,1,100%,100%,100%,91%,73%,73%,0%,0%,0%
Halton DSB,Hawthorne Village PS,3,en,1,95%,96%,96%,72%,65%,62%,2%,2%,2%
Toronto DSB,Cliffside PS,3,en,1,100%,100%,100%,77%,62%,69%,0%,0%,0%
Toronto DSB,Cliffwood PS,3,en,1,87%,87%,92%,100%,92%,86%,13%,13%,8%
Peel District School Board,Clifton PS,3,en,1,98%,98%,98%,52%,48%,46%,0%,0%,0%
York Region DSB,Anne Frank Public School,3,en,1,98%,98%,98%,65%,55%,58%,2%,2%,2%
Avon Maitland DSB,Clinton PS,3,en,1,100%,100%,100%,81%,67%,63%,0%,0%,0%
Toronto DSB,Clinton Street PS,3,en,1,100%,100%,100%,97%,79%,86%,0%,0%,0%
Halton DSB,Cedar Ridge Public School,3,en,1,97%,97%,97%,70%,73%,67%,1%,1%,1%
Renfrew County DSB,Cobden District PS,3,en,1,100%,100%,100%,70%,54%,57%,0%,0%,0%
DSB Ontario North East,Cochrane PS,3,en,1,90%,100%,97%,28%,30%,19%,0%,0%,0%
Simcoe County DSB,Codrington PS,3,en,1,95%,95%,95%,100%,94%,89%,5%,5%,5%
Hamilton-Wentworth DSB,Gatestone S,3,en,1,96%,96%,96%,72%,63%,59%,4%,4%,4%
Hastings and Prince Edward DSB,Coe Hill School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Lakehead DSB,Algonquin Avenue S,3,en,1,71%,71%,71%,67%,58%,42%,12%,12%,12%
Kawartha Pine Ridge DSB,Colborne E S,3,en,1,96%,96%,96%,64%,45%,41%,4%,4%,4%
Rainbow District School Board,Algonquin Road/Long Lake PS,3,en,1,90%,90%,93%,81%,81%,71%,10%,10%,7%
York Region DSB,Charlton PS,3,en,1,100%,100%,100%,70%,60%,60%,0%,0%,0%
Hamilton-Wentworth DSB,Allan A. Greenleaf ES,3,en,1,96%,96%,96%,85%,85%,82%,4%,4%,4%
Thames Valley District School Board,Algonquin PS,3,en,1,96%,95%,96%,69%,63%,73%,4%,4%,4%
Simcoe County DSB,Algonquin Ridge Elementary School,3,en,1,99%,99%,99%,92%,75%,82%,1%,1%,1%
Bluewater DSB,Amabel-Sauble Community S,3,en,1,87%,93%,93%,77%,71%,71%,7%,7%,7%
Lakehead DSB,École Elsie MacGill Public School,3,en,1,99%,99%,99%,81%,70%,62%,1%,1%,1%
Thames Valley District School Board,Annandale (Elem) S,3,en,1,100%,100%,100%,45%,39%,29%,0%,0%,0%
Simcoe County DSB,Coldwater PS,3,en,1,98%,100%,98%,61%,35%,48%,0%,0%,0%
Durham DSB,Colonel J E Farewell PS,3,en,1,100%,100%,100%,84%,76%,78%,0%,0%,0%
Durham DSB,College Hill PS,3,en,1,100%,100%,100%,56%,53%,53%,0%,0%,0%
Renfrew County DSB,Rockwood PS,3,en,1,95%,95%,95%,74%,66%,69%,0%,0%,0%
DSB of Niagara,Smithville Public School,3,en,1,98%,98%,98%,84%,84%,82%,2%,2%,2%
Hamilton-Wentworth DSB,Collegiate Avenue PS,3,en,1,88%,88%,86%,82%,62%,61%,12%,12%,12%
Waterloo Region DSB,Vista Hills Public School,3,en,1,95%,96%,96%,94%,89%,88%,5%,4%,4%
Lambton Kent District School Board,Colonel Cameron Public School,3,en,1,100%,100%,100%,30%,20%,45%,0%,0%,0%
Peel District School Board,Hewson Elementary PS,3,en,1,97%,97%,94%,74%,48%,54%,2%,2%,2%
Ottawa-Carleton DSB,Avalon Public S,3,en,1,100%,98%,100%,66%,65%,57%,0%,0%,0%
Limestone DSB,Collins Bay PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Beckett Farm Public School,3,en,1,99%,99%,99%,78%,79%,84%,0%,0%,0%
Lambton Kent District School Board,Confederation Central,3,en,1,100%,100%,100%,76%,72%,68%,0%,0%,0%
Halton DSB,Escarpment View Public School,3,en,1,96%,98%,97%,77%,67%,67%,2%,1%,1%
Ottawa-Carleton DSB,Robert Bateman PS,3,en,1,91%,91%,91%,46%,37%,32%,9%,9%,9%
DSB of Niagara,Connaught PS,3,en,1,81%,81%,81%,90%,73%,83%,19%,19%,19%
Ottawa-Carleton DSB,Connaught PS,3,en,1,93%,93%,93%,76%,76%,73%,0%,0%,0%
Ottawa-Carleton DSB,Convent Glen E S,3,en,1,93%,93%,93%,68%,48%,52%,4%,4%,4%
Keewatin-Patricia DSB,Crolancia PS,3,en,1,100%,100%,100%,60%,30%,10%,0%,0%,0%
Simcoe County DSB,Pine River Elementary School,3,en,1,98%,98%,98%,71%,56%,60%,2%,2%,2%
Hastings and Prince Edward DSB,C M L Snider E S,3,en,1,100%,100%,100%,85%,79%,76%,0%,0%,0%
Peel District School Board,Cooksville Creek Public School,3,en,1,98%,100%,98%,67%,47%,46%,0%,0%,0%
York Region DSB,Coppard Glen PS,3,en,1,97%,100%,100%,66%,50%,64%,0%,0%,0%
Rainbow District School Board,Copper Cliff PS,3,en,1,92%,92%,92%,87%,74%,74%,8%,8%,8%
Toronto DSB,Cordella Jr PS,3,en,1,67%,67%,67%,60%,80%,40%,33%,33%,33%
Peel District School Board,Corliss PS,3,en,1,100%,100%,100%,68%,55%,36%,0%,0%,0%
Toronto DSB,Cornell Jr PS,3,en,1,99%,99%,99%,78%,74%,66%,1%,1%,1%
York Region DSB,Cornell Village PS,3,en,1,93%,93%,93%,82%,74%,74%,5%,5%,5%
Greater Essex County DSB,Coronation PS,3,en,1,70%,70%,70%,62%,33%,57%,30%,30%,30%
Renfrew County DSB,Valour JK to 12 School - Elementary,3,en,1,96%,96%,96%,62%,47%,47%,3%,3%,3%
Durham DSB,Coronation PS,3,en,1,83%,83%,83%,79%,79%,72%,17%,17%,17%
Waterloo Region DSB,Coronation PS,3,en,1,100%,100%,100%,89%,74%,74%,0%,0%,0%
Lambton Kent District School Board,Aberarder Central S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Durham DSB,Kedron PS,3,en,1,96%,96%,96%,84%,65%,67%,4%,4%,4%
Simcoe County DSB,James Keating E S,3,en,1,85%,85%,85%,47%,29%,44%,15%,15%,15%
Peel District School Board,Corsair PS,3,en,1,99%,100%,98%,68%,65%,67%,0%,0%,0%
Halton DSB,Boyne Public School,3,en,1,94%,94%,94%,68%,59%,57%,4%,4%,4%
Kawartha Pine Ridge DSB,Dr G J MacGillivray Public School,3,en,1,96%,97%,97%,76%,68%,65%,0%,0%,0%
Toronto DSB,Corvette Jr PS,3,en,1,79%,79%,88%,68%,68%,47%,19%,19%,9%
Rainbow District School Board,Monetville PS,3,en,1,100%,100%,100%,92%,62%,46%,0%,0%,0%
Toronto DSB,Cottingham Jr PS,3,en,1,100%,100%,100%,100%,100%,100%,0%,0%,0%
Simcoe County DSB,Couchiching Heights PS,3,en,1,91%,91%,91%,75%,70%,55%,9%,9%,9%
Toronto DSB,Courcelette PS,3,en,1,96%,100%,96%,67%,68%,62%,0%,0%,0%
Waterloo Region DSB,Country Hills PS,3,en,1,92%,92%,92%,45%,41%,34%,6%,6%,6%
Toronto DSB,Equinox Holistic Alternative School,3,en,1,100%,100%,100%,100%,100%,100%,0%,0%,0%
Grand Erie DSB,Courtland PS,3,en,1,100%,100%,100%,79%,79%,75%,0%,0%,0%
Peel District School Board,Credit Valley PS,3,en,1,98%,98%,98%,92%,85%,88%,1%,1%,1%
Toronto DSB,Crescent Town PS,3,en,1,69%,69%,75%,78%,68%,59%,31%,31%,25%
Toronto DSB,Cresthaven PS,3,en,1,100%,100%,100%,80%,73%,73%,0%,0%,0%
Lakehead DSB,Crestview PS,3,en,1,88%,88%,88%,90%,57%,67%,12%,12%,12%
Waterloo Region DSB,Crestview PS,3,en,1,93%,95%,95%,68%,56%,48%,4%,4%,4%
Toronto DSB,Crestview PS,3,en,1,73%,73%,73%,80%,63%,65%,0%,0%,0%
York Region DSB,Crossland PS,3,en,1,95%,95%,95%,81%,83%,64%,5%,5%,5%
York Region DSB,Crosby Heights PS,3,en,1,91%,91%,91%,59%,34%,37%,2%,0%,0%
Upper Canada DSB,South Crosby PS,3,en,1,98%,98%,98%,68%,55%,57%,0%,0%,0%
Ottawa-Carleton DSB,Fallingbrook Community E S,3,en,1,100%,100%,100%,91%,76%,85%,0%,0%,0%
Ottawa-Carleton DSB,Maple Ridge E S,3,en,1,96%,96%,96%,77%,74%,72%,4%,4%,4%
Simcoe County DSB,Allandale Heights PS,3,en,1,86%,97%,97%,41%,31%,44%,3%,3%,3%
Toronto DSB,Lester B Pearson PS,3,en,1,N/D,N/D,100%,N/D,N/D,87%,N/D,N/D,0%
Simcoe County DSB,Cundles Heights PS,3,en,1,93%,93%,91%,65%,40%,40%,4%,4%,4%
Lakehead DSB,Claude E Garton PS,3,en,1,98%,98%,98%,96%,88%,94%,0%,0%,0%
Greater Essex County DSB,Beacon Heights PS,3,en,1,98%,98%,98%,82%,77%,71%,2%,2%,2%
Thames Valley District School Board,Winchester Street PS,3,en,1,89%,89%,89%,75%,56%,44%,8%,8%,8%
Ottawa-Carleton DSB,D Roy Kennedy S,3,en,1,83%,83%,83%,70%,63%,57%,6%,6%,6%
DSB of Niagara,Dalewood PS,3,en,1,100%,100%,100%,89%,80%,86%,0%,0%,0%
Toronto DSB,Allenby Jr PS,3,en,1,100%,100%,99%,83%,58%,64%,0%,0%,0%
Grand Erie DSB,Mapleview Elementary School,3,en,1,93%,93%,93%,72%,60%,62%,2%,2%,2%
Toronto DSB,Seneca Hill PS,3,en,1,97%,97%,97%,93%,90%,93%,3%,3%,3%
Thames Valley District School Board,J.S. Buchanan FI PS,3,en,1,98%,98%,98%,72%,65%,58%,2%,2%,2%
Toronto DSB,Dallington PS,3,en,1,100%,100%,98%,59%,30%,44%,0%,0%,0%
Toronto DSB,Danforth Gardens PS,3,en,1,85%,85%,85%,73%,54%,46%,15%,15%,15%
Halton DSB,Rattlesnake Point Public School,3,en,1,92%,92%,92%,59%,56%,53%,3%,3%,3%
Waterloo Region DSB,Edna Staebler PS,3,en,1,98%,98%,95%,76%,71%,75%,2%,2%,2%
Toronto DSB,David Hornell Jr S,3,en,1,100%,100%,100%,76%,68%,60%,0%,0%,0%
Peel District School Board,Alloa PS,3,en,1,91%,93%,91%,88%,78%,80%,7%,7%,7%
Toronto DSB,David Lewis PS,3,en,1,90%,90%,90%,81%,85%,70%,10%,10%,10%
Greater Essex County DSB,David Maxwell PS,3,en,1,95%,95%,95%,79%,74%,68%,5%,5%,5%
York Region DSB,Sir Wilfrid Laurier PS,3,en,1,N/D,N/D,100%,N/D,N/D,80%,N/D,N/D,0%
Toronto DSB,Davisville Jr PS,3,en,1,93%,93%,93%,84%,72%,75%,0%,0%,0%
Lambton Kent District School Board,Dawn-Euphemia School,3,en,1,100%,100%,100%,77%,23%,54%,0%,0%,0%
Bluewater DSB,Dawnview PS,3,en,1,100%,100%,100%,92%,67%,83%,0%,0%,0%
Toronto DSB,Daystrom PS,3,en,1,100%,100%,100%,68%,50%,45%,0%,0%,0%
Toronto DSB,Deer Park Jr & Sr PS,3,en,1,95%,95%,95%,92%,80%,92%,2%,2%,2%
Thames Valley District School Board,Cedar Hollow PS (Elementary),3,en,1,97%,97%,97%,88%,73%,75%,3%,3%,3%
Upper Canada DSB,Naismith Memorial S,3,en,1,100%,100%,100%,66%,51%,44%,0%,0%,0%
Thames Valley District School Board,Delaware Central PS,3,en,1,100%,100%,100%,61%,48%,57%,0%,0%,0%
Grand Erie DSB,Delhi PS,3,en,1,97%,97%,97%,81%,55%,61%,3%,3%,3%
Toronto DSB,Castlebar Junior School,3,en,1,100%,100%,100%,83%,83%,80%,0%,0%,0%
York Region DSB,Denne PS,3,en,1,92%,92%,92%,86%,60%,57%,5%,5%,5%
York Region DSB,Doncrest PS,3,en,1,92%,92%,92%,85%,75%,85%,8%,8%,8%
Kawartha Pine Ridge DSB,Dr Emily Stowe E S,3,en,1,98%,98%,98%,88%,69%,65%,2%,2%,2%
Rainbow District School Board,Robert H Murray PS,3,en,1,100%,100%,100%,57%,64%,50%,0%,0%,0%
Toronto DSB,Denlow PS,3,en,1,96%,96%,96%,91%,83%,96%,4%,4%,4%
Toronto DSB,Dennis Avenue Community S,3,en,1,100%,100%,100%,62%,50%,38%,0%,0%,0%
York Region DSB,John McCrae PS,3,en,1,89%,89%,89%,95%,95%,95%,9%,9%,9%
Thames Valley District School Board,Emily Stowe Public School,3,en,1,97%,97%,97%,53%,47%,53%,3%,3%,3%
Conseil scolaire du Grand Nord,École publique de la Rivière-des-Français,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Halton DSB,James W. Hill Public school,3,en,1,94%,93%,96%,92%,77%,83%,3%,3%,1%
Waterloo Region DSB,Alpine PS,3,en,1,100%,100%,100%,73%,64%,73%,0%,0%,0%
Toronto DSB,Derrydown PS,3,en,1,97%,97%,98%,44%,35%,24%,0%,0%,0%
Hastings and Prince Edward DSB,Deseronto PS,3,en,1,100%,100%,100%,92%,62%,62%,0%,0%,0%
York Region DSB,Devins Drive PS,3,en,1,100%,100%,100%,77%,64%,82%,0%,0%,0%
Toronto DSB,Alpha Alternative S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Ottawa-Carleton DSB,Devonshire Community PS,3,en,1,100%,100%,100%,85%,85%,81%,0%,0%,0%
DSB of Niagara,DeWitt Carter PS,3,en,1,95%,95%,95%,89%,92%,81%,5%,5%,5%
Ottawa-Carleton DSB,Alta Vista PS,3,en,1,100%,100%,100%,73%,65%,71%,0%,0%,0%
Toronto DSB,Dewson Street Jr PS,3,en,1,100%,100%,100%,33%,58%,56%,0%,0%,0%
Toronto DSB,Downtown Alternative PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
DSB Ontario North East,Diamond Jubilee PS,3,en,1,87%,87%,87%,54%,15%,31%,13%,13%,13%
Toronto DSB,Avondale E and S Alternative,3,en,1,92%,100%,100%,100%,92%,100%,0%,0%,0%
Durham DSB,Altona Forest PS,3,en,1,87%,87%,87%,82%,62%,68%,13%,13%,13%
Thames Valley District School Board,Sir Arthur Currie PS (Elementary),3,en,1,93%,93%,93%,85%,80%,80%,7%,7%,7%
York Region DSB,Discovery PS,3,en,1,89%,89%,93%,80%,76%,65%,11%,11%,7%
Peel District School Board,Dixie PS,3,en,1,82%,85%,85%,79%,72%,62%,12%,12%,12%
Toronto DSB,Dixon Grove Jr & Md S,3,en,1,94%,94%,94%,41%,29%,18%,6%,6%,6%
Rainy River DSB,Donald Young PS,3,en,1,93%,93%,93%,77%,54%,54%,7%,7%,7%
York Region DSB,Aldergrove PS,3,en,1,97%,97%,98%,79%,68%,63%,2%,2%,0%
Toronto DSB,Donwood Park Jr PS,3,en,1,95%,95%,95%,72%,59%,61%,2%,2%,2%
Thames Valley District School Board,South Dorchester PS,3,en,1,85%,85%,85%,61%,71%,75%,12%,12%,12%
Superior-Greenstone DSB,Dorion PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Dorset Park Jr PS,3,en,1,81%,81%,81%,53%,35%,47%,19%,19%,19%
Peel District School Board,Dorset Drive PS,3,en,1,100%,97%,100%,64%,61%,56%,0%,0%,0%
Greater Essex County DSB,Dougall Avenue PS,3,en,1,46%,46%,50%,48%,43%,35%,52%,52%,48%
Waterloo Region DSB,Driftwood Park PS,3,en,1,98%,98%,98%,73%,69%,76%,2%,2%,2%
Toronto DSB,Dovercourt PS,3,en,1,100%,100%,100%,72%,66%,55%,0%,0%,0%
Grand Erie DSB,Lakewood Elementary School,3,en,1,99%,99%,99%,83%,76%,74%,0%,0%,0%
Rainbow District School Board,Larchwood PS,3,en,1,100%,100%,100%,60%,53%,60%,0%,0%,0%
Upper Grand DSB,Kortright Hill S,3,en,1,89%,89%,91%,82%,75%,76%,7%,7%,4%
Avon Maitland DSB,Downie Central PS,3,en,1,100%,100%,100%,92%,77%,85%,0%,0%,0%
Toronto DSB,Downsview PS,3,en,1,79%,79%,79%,73%,65%,73%,21%,21%,21%
Durham DSB,Dr C F Cannon PS,3,en,1,87%,87%,87%,71%,50%,59%,8%,8%,8%
Halton DSB,Dr Charles Best PS,3,en,1,97%,97%,97%,82%,79%,79%,3%,3%,3%
Greater Essex County DSB,West Gate Public School,3,en,1,68%,66%,69%,52%,47%,44%,29%,31%,28%
Trillium Lakelands DSB,Dr. George Hall PS,3,en,1,98%,98%,98%,69%,49%,56%,2%,2%,2%
Kawartha Pine Ridge DSB,Dr Ross Tilley PS,3,en,1,92%,94%,96%,65%,55%,58%,2%,2%,2%
Peel District School Board,Ray Lawson PS,3,en,1,96%,96%,96%,64%,66%,68%,2%,2%,2%
Durham DSB,Dr Robert Thornton PS,3,en,1,97%,97%,97%,66%,60%,69%,3%,3%,3%
Durham DSB,Dr Roberta Bondar PS,3,en,1,100%,100%,100%,80%,80%,65%,0%,0%,0%
Durham DSB,Dr S J Phillips PS,3,en,1,93%,93%,98%,77%,58%,67%,7%,7%,2%
Upper Grand DSB,Drayton Heights P.S.,3,en,1,98%,98%,98%,85%,79%,90%,2%,2%,2%
Lambton Kent District School Board,Dresden Area Central,3,en,1,100%,100%,100%,76%,52%,66%,0%,0%,0%
Toronto DSB,Driftwood PS,3,en,1,73%,79%,79%,47%,39%,41%,4%,4%,4%
Upper Canada DSB,Drummond Central S,3,en,1,100%,100%,100%,92%,62%,77%,0%,0%,0%
Thames Valley District School Board,Aberdeen PS,3,en,1,88%,88%,88%,43%,36%,50%,12%,12%,12%
Grand Erie DSB,Dufferin PS,3,en,1,96%,96%,96%,74%,74%,59%,0%,0%,0%
Ottawa-Carleton DSB,Dunning-Foubert E S,3,en,1,100%,100%,100%,64%,51%,51%,0%,0%,0%
Toronto DSB,Duke of Connaught PS,3,en,1,94%,94%,98%,62%,69%,73%,0%,0%,0%
Bluewater DSB,Highpoint Community School E S,3,en,1,96%,96%,96%,57%,52%,54%,2%,2%,2%
Hamilton-Wentworth DSB,Dundas Central S,3,en,1,100%,100%,100%,93%,82%,68%,0%,0%,0%
Toronto DSB,Dundas Jr PS,3,en,1,98%,98%,99%,66%,59%,53%,2%,2%,1%
Toronto DSB,Dunlace PS,3,en,1,92%,92%,97%,64%,73%,69%,8%,8%,3%
Ottawa-Carleton DSB,Dunlop E S,3,en,1,100%,100%,100%,50%,61%,50%,0%,0%,0%
Grand Erie DSB,Thompson Creek E S,3,en,1,98%,98%,98%,62%,59%,59%,2%,2%,2%
Trillium Lakelands DSB,Dunsford District E S,3,en,1,100%,100%,92%,62%,62%,50%,0%,0%,0%
Halton DSB,Palermo Public School,3,en,1,100%,100%,100%,79%,67%,74%,0%,0%,0%
Bluewater DSB,Spruce Ridge Community School,3,en,1,100%,100%,100%,75%,50%,54%,0%,0%,0%
Thames Valley District School Board,Dunwich-Dutton PS,3,en,1,100%,100%,100%,70%,54%,66%,0%,0%,0%
York Region DSB,Edward T Crowle PS,3,en,1,100%,100%,100%,96%,96%,89%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Mauril-Bélanger,3,fr,1,85%,85%,85%,47%,35%,38%,12%,12%,12%
Durham DSB,Earl A Fairman PS,3,en,1,94%,94%,90%,100%,97%,100%,6%,6%,10%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique L'Odyssée,3,fr,1,95%,95%,97%,89%,82%,74%,5%,5%,3%
Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Saint-Jean-Paul II,3,fr,1,99%,97%,99%,86%,84%,88%,1%,1%,1%
Conseil scolaire Viamonde,École élémentaire Antonine Maillet,3,fr,1,87%,87%,87%,100%,77%,100%,13%,13%,13%
Le C.S. public du Nord-Est de l'Ontario,École publique élémentaire Étoile du Nord,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Conseil scolaire Viamonde,École élémentaire L’Harmonie,3,fr,1,92%,92%,92%,92%,69%,81%,8%,8%,8%
DSB of Niagara,E I McCulley PS,3,en,1,96%,96%,96%,95%,91%,77%,4%,4%,4%
Halton DSB,E J James S,3,en,1,100%,100%,100%,96%,87%,89%,0%,0%,0%
DSB of Niagara,Wellington Heights PS,3,en,1,98%,98%,98%,91%,80%,78%,2%,2%,2%
Peel District School Board,Shaw Public School,3,en,1,100%,100%,100%,69%,56%,67%,0%,0%,0%
Thames Valley District School Board,Ealing PS,3,en,1,86%,86%,86%,72%,56%,61%,10%,10%,10%
Conseil scolaire du Grand Nord,L'École publique Hélène-Gravel,3,fr,1,100%,100%,100%,74%,62%,68%,0%,0%,0%
Upper Canada DSB,Eamer's Corners PS,3,en,1,89%,89%,89%,70%,63%,47%,9%,9%,9%
Keewatin-Patricia DSB,Ear Falls PS,3,en,1,85%,85%,85%,91%,82%,64%,15%,15%,15%
Toronto DSB,Earl Beatty Jr & Sr PS,3,en,1,100%,100%,100%,88%,88%,81%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Micheline-Saint-Cyr,3,fr,1,100%,100%,100%,96%,85%,100%,0%,0%,0%
Toronto DSB,Earl Haig Jr PS,3,en,1,95%,95%,95%,72%,68%,54%,5%,5%,4%
Hamilton-Wentworth DSB,Earl Kitchener Jr PS,3,en,1,100%,100%,100%,82%,77%,56%,0%,0%,0%
Halton DSB,Irma Coulson Public School,3,en,1,93%,93%,93%,84%,77%,73%,4%,4%,4%
Upper Grand DSB,Ecole Guelph Lake Public School,3,en,1,96%,98%,98%,71%,66%,58%,0%,0%,0%
Simcoe County DSB,East Oro PS,3,en,1,100%,100%,100%,80%,74%,66%,0%,0%,0%
Thames Valley District School Board,East Oxford PS,3,en,1,100%,100%,100%,48%,37%,56%,0%,0%,0%
Algoma DSB,East View PS,3,en,1,94%,97%,97%,20%,13%,16%,0%,0%,0%
Thames Valley District School Board,East Williams Memorial PS,3,en,1,95%,95%,95%,68%,58%,68%,5%,5%,5%
Hastings and Prince Edward DSB,Trent River Public School,3,en,1,98%,98%,98%,54%,34%,54%,2%,2%,2%
Peel District School Board,Eastbourne Drive PS,3,en,1,100%,100%,100%,68%,44%,59%,0%,0%,0%
