School Name,Board Name,Municipality,School Level,School Language,Grade6Reading,LowIncome_pct,NoDegree_pct,Density_2021,Grade6Reading_pct,Grade6Writing_pct,Grade6Math_pct,Grade3Reading_pct,Grade3Math_pct,Grade6Reading_3yr_change,Grade6Math_3yr_change,SpecialEd_pct,Enrolment,City,Latitude,Longitude,EquityRisk
Anna McCrea Public School,Algoma DSB,sault ste marie,Elementary,English,92.0,0.0,0.0,324.6,92%,100%,62%,73%,67%,19.0,12.0,20,280,Sault Ste Marie,46.50593,-84.2873,False
Ben R McMullin Public School,Algoma DSB,sault ste marie,Elementary,English,60.0,15.0,10.0,324.6,60%,53%,27%,69%,56%,-3.0,-5.0,30,170,Sault Ste Marie,46.52455,-84.298,False
Blind River Public School,Algoma DSB,blind river,Elementary,English,75.0,20.0,10.0,6.7,75%,67%,17%,50%,56%,0.0,-28.0,25,190,Blind River,46.18454,-82.9576,False
Boreal French Immersion Public School,Algoma DSB,sault ste marie,Elementary,English,87.0,10.0,0.0,324.6,87%,94%,61%,N/D,51%,2.0,2.0,10,445,Sault Ste Marie,46.52447,-84.3107,False
Central Algoma Public School,Algoma DSB,johnson,Elementary,English,72.0,25.0,20.0,6.3,72%,64%,28%,29%,24%,-20.0,-32.0,10,170,Desbarats,46.34875,-83.9253,False
Central Avenue Public School,Algoma DSB,elliot lake,Elementary,English,85.0,20.0,10.0,16.3,85%,65%,55%,53%,53%,16.0,43.0,20,165,Elliot Lake,46.3904,-82.6588,False
Chapleau Public School,Algoma DSB,chapleau,Elementary,English,77.0,0.0,0.0,147.1,77%,62%,38%,N/R,N/R,37.0,28.0,20,100,Chapleau,47.84496,-83.4033,False
East View Public School,Algoma DSB,sault ste marie,Elementary,English,47.0,10.0,5.0,324.6,47%,43%,11%,38%,12%,-29.0,0.0,30,305,Sault Ste Marie,46.51668,-84.28,True
Esten Park Public School,Algoma DSB,elliot lake,Elementary,English,82.0,20.0,10.0,16.3,82%,76%,18%,48%,24%,-8.0,-2.0,5,160,Elliot Lake,46.37191,-82.6198,False
Francis H Clergue Public School,Algoma DSB,sault ste marie,Elementary,English,90.0,9.0,2.0,324.6,90%,85%,56%,N/D,59%,3.0,28.0,13,535,Sault Ste Marie,46.51862,-84.3096,False
Grand View Public School,Algoma DSB,sault ste marie,Elementary,English,69.0,0.0,0.0,324.6,69%,72%,31%,68%,68%,-23.0,-2.0,10,315,Sault Ste Marie,46.50955,-84.2659,False
Greenwood Public School,Algoma DSB,sault ste marie,Elementary,English,47.0,10.0,0.0,324.6,47%,41%,28%,75%,58%,-5.0,-6.0,20,270,Sault Ste Marie,46.56732,-84.3528,True
H M Robbins Public School,Algoma DSB,sault ste marie,Elementary,English,47.0,15.0,10.0,324.6,47%,37%,16%,74%,42%,-23.0,8.0,30,205,Sault Ste Marie,46.5328,-84.3895,True
Isabel Fletcher Public School,Algoma DSB,sault ste marie,Elementary,English,72.0,10.0,0.0,324.6,72%,66%,31%,64%,45%,-11.0,-14.0,35,210,Sault Ste Marie,46.55114,-84.3789,False
Kiwedin Public School,Algoma DSB,sault ste marie,Elementary,English,59.0,15.0,0.0,324.6,59%,63%,19%,45%,30%,-15.0,14.0,25,190,Sault Ste Marie,46.54201,-84.3351,True
Mountain View Public School,Algoma DSB,sault ste marie,Elementary,English,71.0,10.0,0.0,324.6,71%,52%,29%,24%,38%,9.0,4.0,20,230,Goulais River,46.77124,-84.3616,False
Northern Heights Public School,Algoma DSB,sault ste marie,Elementary,English,61.0,15.0,0.0,324.6,61%,52%,22%,76%,52%,-8.0,-3.0,30,230,Sault Ste Marie,46.53072,-84.329,False
Parkland Public School,Algoma DSB,sault ste marie,Elementary,English,73.0,10.0,0.0,324.6,73%,45%,27%,29%,7%,3.0,27.0,30,125,Sault Ste Marie,46.51456,-84.2582,False
Pinewood Public School,Algoma DSB,sault ste marie,Elementary,English,50.0,10.0,10.0,324.6,50%,39%,11%,47%,28%,-43.0,-16.0,20,245,Sault Ste Marie,46.52417,-84.2477,True
Queen Elizabeth Public School,Algoma DSB,sault ste marie,Elementary,English,86.0,10.0,0.0,324.6,86%,81%,51%,71%,60%,14.0,15.0,20,290,Sault Ste Marie,46.50658,-84.3041,False
R M Moore Public School,Algoma DSB,sault ste marie,Elementary,English,94.0,5.0,0.0,324.6,94%,84%,72%,75%,75%,2.0,8.0,20,280,Sault Ste Marie,46.52177,-84.4441,False
River View Public School,Algoma DSB,sault ste marie,Elementary,English,74.0,15.0,5.0,324.6,74%,63%,40%,31%,21%,-2.0,22.0,25,205,Sault Ste Marie,46.51751,-84.299,False
Sir James Dunn Public School,Algoma DSB,middlesex,Elementary,English,60.0,10.0,0.0,150.9,60%,40%,10%,N/R,N/R,3.0,10.0,20,85,Wawa,47.99693,-84.7728,False
St Joseph Island Central Public School,Algoma DSB,st joseph,Elementary,English,92.0,10.0,0.0,11.2,92%,85%,54%,93%,100%,9.0,54.0,10,135,Richards Landing,46.28922,-84.0347,False
Tarentorus Public School,Algoma DSB,sault ste marie,Elementary,English,68.0,5.0,0.0,324.6,68%,62%,53%,79%,63%,-18.0,-4.0,15,315,Sault Ste Marie,46.54554,-84.3085,False
Thessalon Public School,Algoma DSB,thessalon,Elementary,English,71.0,15.0,0.0,287.5,71%,57%,24%,73%,40%,-8.0,-9.0,30,155,Thessalon,46.2604,-83.559,False
Archbishop O'Sullivan Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,72.0,10.0,0.0,293.4,72%,81%,59%,96%,88%,-18.0,0.0,20,240,Kingston,44.2496,-76.5849,False
Cathedrale Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,78.0,5.0,0.0,293.4,78%,74%,28%,83%,66%,-15.0,-12.0,15,355,Kingston,44.23167,-76.491,False
Georges Vanier Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,81.0,10.0,5.0,222.8,81%,75%,39%,74%,50%,-10.0,2.0,20,320,Belleville,44.18404,-77.4013,False
Holy Name Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,76.0,0.0,0.0,293.4,76%,62%,29%,83%,78%,9.0,2.0,20,140,Kingston,44.30068,-76.4242,False
Holy Name of Mary Catholic School,Algonquin and Lakeshore CDSB,tyendinaga,Elementary,English,100.0,0.0,5.0,14.5,100%,91%,55%,58%,67%,31.0,47.0,15,140,Marysville,44.22671,-77.1368,False
Holy Rosary Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,83.0,10.0,0.0,222.8,83%,75%,38%,57%,52%,23.0,25.0,20,210,Belleville,44.17815,-77.3845,False
J J O'Neill Catholic School,Algonquin and Lakeshore CDSB,greater napanee,Elementary,English,81.0,5.0,0.0,36.5,81%,66%,35%,54%,58%,18.0,20.0,20,260,Napanee,44.24701,-76.9636,False
Our Lady of Fatima Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,82.0,15.0,10.0,222.8,82%,71%,24%,41%,27%,15.0,-9.0,25,160,Belleville,44.16552,-77.4014,False
Our Lady of Lourdes Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,71.0,10.0,0.0,293.4,71%,81%,29%,78%,50%,-18.0,0.0,20,220,Kingston,44.22013,-76.5708,False
Our Lady of Mercy Catholic School,Algonquin and Lakeshore CDSB,bancroft,Elementary,English,94.0,15.0,5.0,17.9,94%,94%,56%,93%,74%,11.0,39.0,10,220,Bancroft,45.05601,-77.8624,False
Our Lady of Mount Carmel Catholic School,Algonquin and Lakeshore CDSB,loyalist,Elementary,English,90.0,5.0,1.0,52.4,90%,78%,45%,66%,57%,6.0,19.0,17,570,Amherstview,44.2236,-76.6407,False
Sacred Heart Catholic School,Algonquin and Lakeshore CDSB,marmora and lake,Elementary,English,93.0,10.0,0.0,7.9,93%,79%,21%,77%,77%,20.0,3.0,30,135,Marmora,44.48104,-77.6787,False
Sacred Heart Catholic School,Algonquin and Lakeshore CDSB,quinte west,Elementary,English,92.0,0.0,5.0,94.0,92%,75%,42%,11%,17%,17.0,0.0,15,155,Batawa,44.17001,-77.5964,False
St Carthagh Catholic School,Algonquin and Lakeshore CDSB,tweed,Elementary,English,80.0,10.0,0.0,6.6,80%,73%,27%,40%,30%,0.0,-33.0,30,120,Tweed,44.47874,-77.317,False
St Francis of Assisi Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,67.0,30.0,15.0,293.4,67%,50%,22%,31%,0%,-19.0,-5.0,25,265,Kingston,44.26086,-76.4907,False
St Gregory Catholic School,Algonquin and Lakeshore CDSB,prince edward,Elementary,English,53.0,5.0,5.0,24.4,53%,67%,17%,53%,58%,-24.0,-12.0,20,220,Picton,44.00879,-77.1326,True
St Joseph Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,93.0,5.0,0.0,222.8,93%,93%,55%,87%,68%,1.0,5.0,20,385,Belleville,44.16896,-77.3584,False
St Marguerite Bourgeoys Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,80.0,10.0,0.0,293.4,80%,80%,41%,91%,64%,7.0,10.0,15,435,Kingston,44.25374,-76.5534,False
St Martha Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,97.0,0.0,0.0,293.4,97%,87%,58%,79%,74%,9.0,9.0,20,325,Kingston,44.26573,-76.4467,False
St Mary Catholic School,Algonquin and Lakeshore CDSB,quinte west,Elementary,English,85.0,10.0,5.0,94.0,85%,78%,27%,45%,43%,0.0,-9.0,15,350,Trenton,44.10885,-77.5662,False
St Mary Catholic School,Algonquin and Lakeshore CDSB,tyendinaga,Elementary,English,90.0,5.0,0.0,14.5,90%,100%,40%,54%,54%,13.0,25.0,10,125,Shannonville,44.3069,-77.2217,False
St Michael Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,78.0,12.0,4.0,222.8,78%,74%,36%,70%,59%,2.0,28.0,11,540,Belleville,44.16771,-77.3821,False
St Patrick Catholic School,Algonquin and Lakeshore CDSB,south frontenac,Elementary,English,65.0,10.0,0.0,21.3,65%,70%,25%,60%,60%,-23.0,-3.0,25,250,Harrowsmith,44.39978,-76.67,False
St Paul Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,92.0,10.0,0.0,293.4,92%,100%,77%,60%,65%,0.0,19.0,20,160,Kingston,44.24963,-76.5241,False
St Peter Catholic School,Algonquin and Lakeshore CDSB,quinte west,Elementary,English,72.0,5.0,0.0,94.0,72%,81%,20%,63%,38%,-1.0,-18.0,10,425,Trenton,44.09989,-77.579,False
St Thomas More Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,64.0,20.0,0.0,293.4,64%,57%,36%,68%,58%,-10.0,-6.0,10,245,Kingston,44.23513,-76.524,False
St. John XXIII Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,91.0,5.0,0.0,293.4,91%,95%,64%,77%,37%,-9.0,3.0,15,275,Kingston,44.24649,-76.6039,False
St. Teresa of Calcutta Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,92.0,0.0,0.0,293.4,92%,81%,44%,74%,57%,-1.0,-13.0,10,445,Kingston,44.25586,-76.5982,False
Anne Hathaway Public School,Avon Maitland DSB,stratford,Elementary,English,78.0,10.0,5.0,1107.0,78%,88%,24%,49%,41%,-14.0,-23.0,10,385,Stratford,43.3579,-80.972,False
Avon Public School,Avon Maitland DSB,stratford,Elementary,English,86.0,10.0,0.0,1107.0,86%,80%,68%,67%,57%,0.0,17.0,10,455,Stratford,43.37444,-80.9979,False
Bedford Public School,Avon Maitland DSB,stratford,Elementary,English,80.0,5.0,5.0,1107.0,80%,91%,65%,74%,67%,-2.0,15.0,10,485,Stratford,43.3824,-80.9722,False
Bluewater Coast Elementary Public School,Avon Maitland DSB,bluewater,Elementary,English,83.0,5.0,5.0,18.1,83%,92%,50%,65%,65%,-17.0,-20.0,10,160,Hensall,43.43146,-81.5015,False
Central Perth Elementary School,Avon Maitland DSB,perth east,Elementary,English,85.0,10.0,10.0,17.7,85%,75%,40%,83%,50%,-3.0,-7.0,10,190,Sebringville,43.46305,-81.0266,False
Clinton Public School,Avon Maitland DSB,central huron,Elementary,English,69.0,10.0,10.0,17.4,69%,62%,35%,88%,76%,-23.0,-19.0,10,245,Clinton,43.61488,-81.532,False
Downie Central Public School,Avon Maitland DSB,perth south,Elementary,English,86.0,10.0,0.0,9.6,86%,93%,71%,83%,83%,15.0,23.0,10,150,St Pauls,43.32748,-81.0775,False
Elma Township Public School,Avon Maitland DSB,north perth,Elementary,English,83.0,10.0,30.0,31.5,83%,79%,62%,81%,71%,2.0,-5.0,10,340,Atwood,43.65629,-81.0259,False
Exeter Elementary School,Avon Maitland DSB,south huron,Elementary,English,88.0,10.0,5.0,23.7,88%,85%,55%,69%,63%,-7.0,5.0,5,395,Exeter,43.35124,-81.4776,False
Goderich Public School,Avon Maitland DSB,goderich,Elementary,English,82.0,10.0,0.0,923.1,82%,80%,53%,80%,79%,-9.0,3.0,10,485,Goderich,43.73468,-81.7164,False
Hamlet Public School,Avon Maitland DSB,stratford,Elementary,English,81.0,5.0,5.0,1107.0,81%,59%,46%,73%,52%,9.0,7.0,10,235,Stratford,43.3645,-80.9909,False
Howick Central Public School,Avon Maitland DSB,howick,Elementary,English,85.0,15.0,30.0,14.1,85%,65%,20%,52%,36%,8.0,6.0,10,315,Gorrie,43.88372,-81.054,False
Hullett Central Public School,Avon Maitland DSB,central huron,Elementary,English,65.0,10.0,5.0,17.4,65%,50%,32%,82%,86%,-12.0,9.0,15,245,Londesborough,43.69759,-81.4775,False
Huron Centennial Public School,Avon Maitland DSB,bluewater,Elementary,English,70.0,10.0,5.0,18.1,70%,59%,32%,66%,63%,-17.0,-34.0,5,405,Brucefield,43.50722,-81.5155,False
Listowel Eastdale Public School,Avon Maitland DSB,north perth,Elementary,English,88.0,0.0,15.0,31.5,88%,83%,64%,83%,79%,-1.0,15.0,10,345,Listowel,43.72679,-80.9496,False
Little Falls Public School,Avon Maitland DSB,st marys,Elementary,English,93.0,0.0,0.0,593.8,93%,86%,72%,64%,71%,4.0,5.0,10,450,St Marys,43.25111,-81.1319,False
Maitland River Elementary Public School,Avon Maitland DSB,north huron,Elementary,English,73.0,15.0,10.0,28.2,73%,58%,50%,83%,78%,8.0,23.0,15,415,Wingham,43.88225,-81.3033,False
Milverton Public School,Avon Maitland DSB,perth east,Elementary,English,86.0,10.0,40.0,17.7,86%,76%,62%,88%,83%,5.0,12.0,10,295,Milverton,43.56293,-80.915,False
Mornington Central Public School,Avon Maitland DSB,perth east,Elementary,English,54.0,15.0,50.0,17.7,54%,54%,23%,40%,33%,-18.0,12.0,10,185,Newton,43.61469,-80.8846,True
North Easthope Public School,Avon Maitland DSB,perth east,Elementary,English,90.0,0.0,10.0,17.7,90%,80%,40%,79%,57%,28.0,-6.0,10,170,Stratford,43.42512,-80.864,False
North Perth Westfield Elementary School,Avon Maitland DSB,north perth,Elementary,English,60.0,8.0,16.0,31.5,60%,54%,27%,42%,39%,-25.0,-14.0,9,740,Listowel,43.74007,-80.9644,False
North Woods Elementary School,Avon Maitland DSB,huron east,Elementary,English,86.0,10.0,20.0,14.2,86%,71%,36%,44%,56%,1.0,-2.0,10,160,Ethel,43.71417,-81.145,False
Romeo Public School,Avon Maitland DSB,stratford,Elementary,English,65.0,10.0,0.0,1107.0,65%,76%,41%,50%,50%,-35.0,-9.0,10,150,Stratford,43.36905,-80.9779,False
Seaforth Public School,Avon Maitland DSB,huron east,Elementary,English,86.0,5.0,0.0,14.2,86%,81%,52%,85%,96%,5.0,8.0,10,310,Seaforth,43.55481,-81.3889,False
Shakespeare Public School,Avon Maitland DSB,stratford,Elementary,English,73.0,10.0,0.0,1107.0,73%,77%,14%,56%,50%,-3.0,-39.0,10,205,Stratford,43.36207,-80.9829,False
South Perth Centennial Public School,Avon Maitland DSB,perth south,Elementary,English,95.0,0.0,0.0,9.6,95%,90%,65%,67%,72%,-5.0,22.0,5,190,St Marys,43.26794,-81.193,False
Sprucedale Public School,Avon Maitland DSB,perth east,Elementary,English,94.0,5.0,0.0,17.7,94%,81%,62%,80%,80%,12.0,21.0,10,180,Shakespeare,43.36809,-80.8394,False
Stephen Central Public School,Avon Maitland DSB,south huron,Elementary,English,100.0,10.0,10.0,23.7,100%,94%,41%,86%,50%,0.0,3.0,10,135,Dashwood,43.29587,-81.5989,False
Upper Thames Elementary School,Avon Maitland DSB,west perth,Elementary,English,80.0,6.0,5.0,15.6,80%,74%,46%,56%,49%,-4.0,6.0,9,615,Mitchell,43.4736,-81.1857,False
Alexandra Community School,Bluewater DSB,owen sound,Elementary,English,50.0,10.0,0.0,892.6,50%,47%,23%,62%,65%,-32.0,-12.0,25,335,Owen Sound,44.57298,-80.9294,True
Arran Tara Elementary School,Bluewater DSB,arran-elderslie,Elementary,English,73.0,10.0,10.0,15.1,73%,66%,22%,45%,39%,3.0,1.0,15,405,Tara,44.48145,-81.1525,False
Beaver Valley Community School,Bluewater DSB,the blue mountains,Elementary,English,85.0,8.0,2.0,33.0,85%,77%,59%,87%,85%,-5.0,8.0,13,625,Thornbury,44.55342,-80.4621,False
Beavercrest Community School,Bluewater DSB,grey highlands,Elementary,English,92.0,10.0,5.0,11.9,92%,81%,47%,82%,86%,0.0,15.0,10,315,Markdale,44.3194,-80.64357,False
Chesley District Community School,Bluewater DSB,arran-elderslie,Elementary,English,80.0,15.0,20.0,15.1,80%,71%,27%,65%,62%,24.0,2.0,20,345,Chesley,44.30696,-81.0976,False
Dawnview Public School,Bluewater DSB,hanover,Elementary,English,100.0,10.0,10.0,814.6,100%,95%,64%,70%,65%,23.0,14.0,20,200,Hanover,44.14548,-81.0209,False
East Ridge Community School,Bluewater DSB,owen sound,Elementary,English,78.0,10.0,6.0,892.6,78%,82%,34%,63%,59%,1.0,-3.0,21,790,Owen Sound,44.56713,-80.9161,False
Egremont Community School,Bluewater DSB,southgate,Elementary,English,63.0,20.0,30.0,13.6,63%,63%,42%,83%,54%,-2.0,20.0,20,230,Holstein,44.06142,-80.7596,False
Elgin Market Public School,Bluewater DSB,kincardine,Elementary,English,97.0,0.0,0.0,22.8,97%,83%,56%,80%,76%,10.0,29.0,10,295,Kincardine,44.16484,-81.6435,False
G C Huston Public School,Bluewater DSB,saugeen shores,Elementary,English,66.0,5.0,0.0,93.5,66%,64%,35%,61%,49%,11.0,6.0,20,370,Southampton,44.49686,-81.3679,False
Georgian Bay Community School,Bluewater DSB,meaford,Elementary,English,58.0,10.0,7.0,19.5,58%,51%,28%,55%,44%,-24.0,-8.0,23,770,Meaford,44.59316,-80.58322,True
Hanover Heights Community School,Bluewater DSB,hanover,Elementary,English,85.0,10.0,5.0,814.6,85%,75%,38%,47%,36%,7.0,-2.0,20,385,Hanover,44.15626,-81.0223,False
Highpoint Community Elementary School,Bluewater DSB,southgate,Elementary,English,73.0,10.0,25.0,13.6,73%,70%,30%,55%,42%,-13.0,-22.0,15,480,Dundalk,44.16386,-80.3986,False
Hillcrest Central School,Bluewater DSB,south bruce,Elementary,English,73.0,10.0,20.0,12.1,73%,82%,18%,62%,62%,-2.0,-20.0,15,145,Teeswater,43.99987,-81.2903,False
Hillcrest Elementary School,Bluewater DSB,owen sound,Elementary,English,51.0,15.0,10.0,892.6,51%,51%,32%,49%,49%,-21.0,7.0,20,495,Owen Sound,44.56251,-80.9505,True
Holland-Chatsworth Central School,Bluewater DSB,chatsworth,Elementary,English,62.0,10.0,10.0,11.9,62%,72%,28%,44%,39%,-25.0,-14.0,15,305,Holland Centre,44.41398,-80.8287,False
Huron Heights Public School,Bluewater DSB,kincardine,Elementary,English,92.0,5.0,5.0,22.8,92%,84%,58%,69%,61%,2.0,22.0,30,300,Kincardine,44.16912,-81.6201,False
Keppel-Sarawak Elementary School,Bluewater DSB,owen sound,Elementary,English,82.0,10.0,5.0,892.6,82%,76%,41%,75%,66%,-12.0,-15.0,10,425,Owen Sound,44.58898,-80.9544,False
Macphail Memorial Elementary School,Bluewater DSB,grey highlands,Elementary,English,84.0,9.0,18.0,11.9,84%,76%,33%,48%,42%,17.0,21.0,14,585,Flesherton,44.2585,-80.5487,False
Mildmay-Carrick Central School,Bluewater DSB,south bruce,Elementary,English,70.0,10.0,0.0,12.1,70%,61%,39%,56%,62%,-24.0,-17.0,10,175,Mildmay,44.0374,-81.1117,False
Normanby Community School,Bluewater DSB,west grey,Elementary,English,73.0,10.0,20.0,15.0,73%,74%,39%,42%,21%,6.0,11.0,20,200,Ayton,44.05811,-80.9276,False
Northport Elementary School,Bluewater DSB,saugeen shores,Elementary,English,76.0,5.0,0.0,93.5,76%,69%,47%,73%,68%,-20.0,-25.0,5,480,Port Elgin,44.44679,-81.3837,False
Osprey Central School,Bluewater DSB,grey highlands,Elementary,English,72.0,10.0,30.0,11.9,72%,66%,24%,86%,67%,7.0,3.0,20,400,Maxwell,44.31534,-80.37,False
Paisley Central School,Bluewater DSB,arran-elderslie,Elementary,English,91.0,20.0,10.0,15.1,91%,73%,18%,70%,60%,5.0,-25.0,15,170,Paisley,44.29813,-81.2736,False
Port Elgin-Saugeen Central School,Bluewater DSB,saugeen shores,Elementary,English,75.0,9.0,2.0,93.5,75%,73%,51%,68%,60%,0.0,16.0,9,635,Port Elgin,44.43482,-81.3942,False
Ripley-Huron Community - Junior Campus School,Bluewater DSB,arran-elderslie,Elementary,English,89.0,5.0,0.0,15.1,89%,70%,38%,62%,53%,2.0,-14.0,10,305,Ripley,44.07316,-81.5823,False
Spruce Ridge Community School,Bluewater DSB,west grey,Elementary,English,44.0,15.0,5.0,15.0,44%,52%,26%,42%,36%,-30.0,-14.0,20,360,Durham,44.17444,-80.8128,True
Sullivan Community School,Bluewater DSB,chatsworth,Elementary,English,75.0,15.0,20.0,11.9,75%,67%,33%,71%,47%,-12.0,0.0,20,165,Chatsworth,44.40274,-80.9897,False
Walkerton District Community School,Bluewater DSB,brockton,Elementary,English,58.0,10.0,5.0,17.3,58%,62%,29%,73%,43%,-12.0,1.0,20,385,Walkerton,44.11726,-81.1476,True
Blessed Sacrament School,Brant Haldimand Norfolk CDSB,brant,Elementary,English,81.0,0.0,0.0,132.3,81%,74%,41%,63%,60%,13.0,20.0,20,265,Burford,43.10081,-80.443,False
Blessed Sacrament School,Brant Haldimand Norfolk CDSB,brant,Elementary,English,81.0,0.0,0.0,48.3,81%,74%,41%,63%,60%,13.0,20.0,20,265,Burford,43.10081,-80.443,False
Christ the King School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,78.0,20.0,0.0,1061.2,78%,87%,43%,79%,63%,-10.0,12.0,20,220,Brantford,43.14795,-80.2832,False
Holy Cross School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,68.0,20.0,10.0,1061.2,68%,73%,5%,52%,36%,5.0,-7.0,15,300,Brantford,43.14676,-80.2419,False
Holy Family School,Brant Haldimand Norfolk CDSB,brant,Elementary,English,83.0,5.0,0.0,132.3,83%,83%,65%,79%,71%,-11.0,34.0,10,225,Paris,43.20659,-80.3899,False
Holy Family School,Brant Haldimand Norfolk CDSB,brant,Elementary,English,83.0,5.0,0.0,48.3,83%,83%,65%,79%,71%,-11.0,34.0,10,225,Paris,43.20659,-80.3899,False
Madonna Della Libera Catholic Elementary School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,50.0,20.0,10.0,1061.2,50%,58%,21%,65%,51%,-37.0,-16.0,10,340,BRANTFORD,43.1212,-80.2496,True
Notre Dame Catholic Catholic Elementary School,Brant Haldimand Norfolk CDSB,haldimand county,Elementary,English,91.0,0.0,5.0,39.4,91%,95%,73%,90%,67%,-9.0,-11.0,10,365,Caledonia,43.06181,-79.9638,False
Notre Dame School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,76.0,10.0,0.0,1061.2,76%,76%,28%,86%,72%,-1.0,-3.0,20,330,Brantford,43.18154,-80.236,False
Our Lady of Providence Catholic Elementary School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,79.0,0.0,0.0,1061.2,79%,76%,31%,84%,71%,-8.0,-21.0,5,290,Brantford,43.17546,-80.2852,False
Resurrection School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,69.0,10.0,5.0,1061.2,69%,69%,15%,N/R,N/R,-2.0,-9.0,15,125,Brantford,43.18063,-80.258,False
Sacred Heart Catholic Elementary School,Brant Haldimand Norfolk CDSB,brant,Elementary,English,93.0,4.0,2.0,132.3,93%,84%,45%,65%,57%,4.0,8.0,7,635,PARIS,43.22801,-80.4171,False
Sacred Heart Catholic Elementary School,Brant Haldimand Norfolk CDSB,brant,Elementary,English,93.0,4.0,2.0,48.3,93%,84%,45%,65%,57%,4.0,8.0,7,635,PARIS,43.22801,-80.4171,False
Sacred Heart School,Brant Haldimand Norfolk CDSB,norfolk county,Elementary,English,95.0,5.0,40.0,42.2,95%,100%,70%,92%,83%,14.0,37.0,10,160,Langton,42.74055,-80.5818,False
St. Basil Catholic Elementary School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,86.0,8.0,3.0,1061.2,86%,89%,58%,60%,51%,-6.0,16.0,8,655,Brantford,43.11262,-80.2969,False
St. Bernard of Clairvaux School,Brant Haldimand Norfolk CDSB,norfolk county,Elementary,English,92.0,0.0,0.0,42.2,92%,81%,52%,83%,62%,14.0,26.0,5,300,Waterford,42.9263,-80.2931,False
St. Frances Cabrini School,Brant Haldimand Norfolk CDSB,norfolk county,Elementary,English,82.0,10.0,5.0,42.2,82%,82%,53%,86%,86%,7.0,28.0,10,320,Delhi,42.85253,-80.4887,False
St. Gabriel Catholic Catholic Elementary School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,94.0,5.0,0.0,1061.2,94%,92%,43%,79%,67%,14.0,-15.0,10,485,Brantford,43.12416,-80.2943,False
St. Joseph's School,Brant Haldimand Norfolk CDSB,norfolk county,Elementary,English,87.0,11.0,5.0,42.2,87%,79%,49%,78%,64%,-6.0,-5.0,13,590,Simcoe,42.83245,-80.2952,False
St. Leo School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,68.0,5.0,0.0,1061.2,68%,73%,29%,69%,62%,-29.0,-12.0,10,380,Brantford,43.18406,-80.2685,False
St. Mary's School,Brant Haldimand Norfolk CDSB,haldimand county,Elementary,English,89.0,10.0,0.0,39.4,89%,74%,26%,48%,33%,14.0,14.0,10,200,Hagersville,42.9571,-80.0572,False
St. Michael's C School,Brant Haldimand Norfolk CDSB,norfolk county,Elementary,English,82.0,10.0,0.0,42.2,82%,91%,55%,N/R,N/R,-18.0,12.0,10,90,SIMCOE,42.76425,-80.3869,False
St. Michael's School,Brant Haldimand Norfolk CDSB,haldimand county,Elementary,English,87.0,10.0,5.0,39.4,87%,73%,17%,71%,52%,0.0,-5.0,10,220,Dunnville,42.90629,-79.6201,False
St. Patrick School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,86.0,10.0,0.0,1061.2,86%,71%,50%,80%,60%,-2.0,38.0,10,135,Brantford,43.1699,-80.2592,False
St. Patrick's School,Brant Haldimand Norfolk CDSB,haldimand county,Elementary,English,73.0,5.0,0.0,39.4,73%,76%,18%,83%,71%,-20.0,-26.0,10,395,Caledonia,43.07555,-79.9473,False
St. Peter School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,95.0,5.0,10.0,1061.2,95%,86%,59%,89%,61%,-5.0,0.0,10,180,Brantford,43.14332,-80.2197,False
St. Pius X Catholic Elementary School,Brant Haldimand Norfolk CDSB,brantford,Elementary,English,85.0,10.0,5.0,1061.2,85%,77%,46%,62%,67%,2.0,9.0,10,295,Brantford,43.16488,-80.2723,False
St. Stephen's School,Brant Haldimand Norfolk CDSB,haldimand county,Elementary,English,82.0,5.0,5.0,39.4,82%,64%,18%,42%,37%,-12.0,-10.0,15,165,Cayuga,42.94849,-79.8579,False
