OrgID,OrgType,Language,Grade,ApplySuppression,BoardMident,BoardName,SchoolMident,SchoolName,FundingType,Suppressed,cntStudents_Read,cntStudents_Write,cntStudents_Math,cntExempted_Read,cntExempted_Write,cntExempted_Math,cntAbsent_Read,cntAbsent_Write,cntAbsent_Math,cntNoData_Read,cntNoData_Write,cntNoData_Math,cntFullyParticipating_Read,cntFullyParticipating_Write,cntFullyParticipating_Math,cntFirstLang_Read,cntFirstLang_Write,cntFirstLang_Math,cntFirstLang_Other_Read,cntFirstLang_Other_Write,cntFirstLang_Other_Math,cntFirstLang_NoData_Read,cntFirstLang_NoData_Write,cntFirstLang_NoData_Math,pctExempted_Read,pctExempted_Write,pctExempted_Math,pctAbsent_Read,pctAbsent_Write,pctAbsent_Math,pctNoData_Read,pctNoData_Write,pctNoData_Math,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctFirstLang_Read,pctFirstLang_Write,pctFirstLang_Math,pctFirstLang_Other_Read,pctFirstLang_Other_Write,pctFirstLang_Other_Math,pctFirstLang_NoData_Read,pctFirstLang_NoData_Write,pctFirstLang_NoData_Math,cntOverallR_L4,cntOverallR_L3,cntOverallR_L2,cntOverallR_L1,cntOverallR_NE1,cntOverallR_L34,cntOverallW_L4,cntOverallW_L3,cntOverallW_L2,cntOverallW_L1,cntOverallW_NE1,cntOverallW_L34,cntOverallM_L4,cntOverallM_L3,cntOverallM_L2,cntOverallM_L1,cntOverallM_NE1,cntOverallM_L34,pctOverallR_L4,pctOverallR_L3,pctOverallR_L2,pctOverallR_L1,pctOverallR_NE1,pctOverallR_L34,pctOverallW_L4,pctOverallW_L3,pctOverallW_L2,pctOverallW_L1,pctOverallW_NE1,pctOverallW_L34,pctOverallM_L4,pctOverallM_L3,pctOverallM_L2,pctOverallM_L1,pctOverallM_NE1,pctOverallM_L34,cntOverallR_G1_Part,cntOverallW_G1_Part,cntOverallM_G1_Part,cntOverallR_G1_L4,cntOverallR_G1_L3,cntOverallR_G1_L2,cntOverallR_G1_L1,cntOverallR_G1_NE1,cntOverallR_G1_L34,cntOverallW_G1_L4,cntOverallW_G1_L3,cntOverallW_G1_L2,cntOverallW_G1_L1,cntOverallW_G1_NE1,cntOverallW_G1_L34,cntOverallM_G1_L4,cntOverallM_G1_L3,cntOverallM_G1_L2,cntOverallM_G1_L1,cntOverallM_G1_NE1,cntOverallM_G1_L34,cntOverallR_G2_Part,cntOverallW_G2_Part,cntOverallM_G2_Part,cntOverallR_G2_L4,cntOverallR_G2_L3,cntOverallR_G2_L2,cntOverallR_G2_L1,cntOverallR_G2_NE1,cntOverallR_G2_L34,cntOverallW_G2_L4,cntOverallW_G2_L3,cntOverallW_G2_L2,cntOverallW_G2_L1,cntOverallW_G2_NE1,cntOverallW_G2_L34,cntOverallM_G2_L4,cntOverallM_G2_L3,cntOverallM_G2_L2,cntOverallM_G2_L1,cntOverallM_G2_NE1,cntOverallM_G2_L34
0,P,en,3,1,,,,,1 & 3,0,123924,123925,129674,5096,5056,4881,273,283,283,1376,1161,1291,117179,117425,123219,90225,90413,94788,24570,24621,26017,2384,2391,2414,4%,4%,4%,<1%,<1%,<1%,1%,1%,1%,95%,95%,95%,77%,77%,77%,21%,21%,21%,2%,2%,2%,25194,61713,28695,1571,6,86907,6575,69246,37111,4215,278,75821,22171,56194,33831,9855,1168,78365,22%,53%,24%,1%,<1%,74%,6%,59%,32%,4%,<1%,65%,18%,46%,27%,8%,1%,64%,59851,59976,62665,10869,31302,16619,1056,5,42171,2438,33437,21295,2619,187,35875,13295,28861,15506,4443,560,42156,57277,57398,60499,14301,30392,12068,515,1,44693,4130,35777,15805,1595,91,39907,8860,27302,18320,5410,607,36162
0,P,fr,3,1,,,,,1 & 3,0,8854,8854,8854,264,264,247,17,18,18,56,41,31,8517,8531,8558,3793,3804,3811,4578,4581,4601,146,146,146,3%,3%,3%,<1 %,<1 %,<1 %,1%,<1 %,<1 %,96%,96%,97%,45%,45%,45%,54%,54%,54%,2%,2%,2%,1869,4556,1999,93,0,6425,1253,4481,2191,519,87,5734,2198,4190,1876,273,21,6388,22%,53%,23%,1%,0%,75%,15%,53%,26%,6%,1%,67%,26%,49%,22%,3%,<1 %,75%,4165,4174,4185,821,2206,1084,54,0,3027,555,2114,1145,303,57,2669,1233,2004,815,125,8,3237,4351,4356,4372,1047,2350,915,39,0,3397,697,2367,1046,216,30,3064,964,2186,1061,148,13,3150
15199,B,en,3,1,15199,Moose Factory Island DSAB,,,1,0,38,38,38,4,4,4,0,0,0,3,2,2,31,32,32,30,31,31,N/R,N/R,N/R,N/R,N/R,N/R,11%,11%,11%,0%,0%,0%,8%,5%,5%,82%,84%,84%,97%,97%,97%,N/R,N/R,N/R,N/R,N/R,N/R,0,8,19,4,0,8,0,7,15,10,0,7,0,0,15,15,2,0,0%,26%,61%,13%,0%,26%,0%,22%,47%,31%,0%,22%,0%,0%,47%,47%,6%,0%,11,12,12,0,3,6,2,0,3,0,3,5,4,0,3,0,0,5,6,1,0,20,20,20,0,5,13,2,0,5,0,4,10,6,0,4,0,0,10,9,1,0
15202,B,en,3,1,15202,Moosonee DSAB,,,1,0,26,26,26,0,0,0,0,0,0,0,0,0,26,26,26,25,25,25,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,96%,96%,96%,N/R,N/R,N/R,N/R,N/R,N/R,3,12,11,0,0,15,1,9,16,0,0,10,2,7,12,5,0,9,12%,46%,42%,0%,0%,58%,4%,35%,62%,0%,0%,38%,8%,27%,46%,19%,0%,35%,13,13,13,0,6,7,0,0,6,0,4,9,0,0,4,1,3,6,3,0,4,13,13,13,3,6,4,0,0,9,1,5,7,0,0,6,1,4,6,2,0,5
28002,B,en,3,1,28002,DSB Ontario North East,,,1,0,250,250,446,19,19,19,0,0,0,4,2,4,227,229,423,211,213,396,10,10,20,N/R,N/R,N/R,8%,8%,4%,0%,0%,0%,2%,1%,1%,91%,92%,95%,93%,93%,94%,4%,4%,5%,N/R,N/R,N/R,14,107,102,4,0,121,4,78,120,26,1,82,34,157,155,70,7,191,6%,47%,45%,2%,0%,53%,2%,34%,52%,11%,<1%,36%,8%,37%,37%,17%,2%,45%,127,127,224,8,58,59,2,0,66,2,40,68,16,1,42,19,88,75,37,5,107,100,102,199,6,49,43,2,0,55,2,38,52,10,0,40,15,69,80,33,2,84
28010,B,en,3,1,28010,Algoma DSB,,,1,0,598,598,703,20,20,20,0,0,0,6,5,5,572,573,678,552,553,651,18,18,25,N/R,N/R,N/R,3%,3%,3%,0%,0%,0%,1%,1%,1%,96%,96%,96%,97%,97%,96%,3%,3%,4%,N/R,N/R,N/R,73,308,171,19,1,381,11,282,242,35,3,293,61,273,234,93,17,334,13%,54%,30%,3%,<1%,67%,2%,49%,42%,6%,1%,51%,9%,40%,35%,14%,3%,49%,319,320,367,35,167,101,15,1,202,6,138,151,22,3,144,43,145,129,43,7,188,253,253,311,38,141,70,4,0,179,5,144,91,13,0,149,18,128,105,50,10,146
28029,B,en,3,1,28029,Rainbow District School Board,,,1,0,900,900,900,42,42,41,4,4,4,4,3,6,850,851,849,818,818,817,25,25,25,N/R,N/R,N/R,5%,5%,5%,<1%,<1%,<1%,<1%,<1%,1%,94%,95%,94%,96%,96%,96%,3%,3%,3%,N/R,N/R,N/R,216,440,189,5,0,656,62,500,261,27,1,562,178,339,237,86,9,517,25%,52%,22%,1%,0%,77%,7%,59%,31%,3%,<1%,66%,21%,40%,28%,10%,1%,61%,403,403,404,106,203,92,2,0,309,26,236,127,14,0,262,105,164,99,32,4,269,447,448,445,110,237,97,3,0,347,36,264,134,13,1,300,73,175,138,54,5,248
28037,B,en,3,1,28037,Near North DSB,,,1,0,686,686,686,12,12,15,0,0,0,7,5,7,667,669,664,648,650,645,14,14,14,N/R,N/R,N/R,2%,2%,2%,0%,0%,0%,1%,1%,1%,97%,98%,97%,97%,97%,97%,2%,2%,2%,N/R,N/R,N/R,73,327,253,14,0,400,10,279,346,31,3,289,54,270,231,99,10,324,11%,49%,38%,2%,0%,60%,1%,42%,52%,5%,<1%,43%,8%,41%,35%,15%,2%,49%,354,354,353,30,161,153,10,0,191,3,129,200,19,3,132,33,155,113,49,3,188,313,315,311,43,166,100,4,0,209,7,150,146,12,0,157,21,115,118,50,7,136
28045,B,en,3,1,28045,Keewatin-Patricia DSB,,,1,0,301,301,301,12,12,14,2,2,2,2,1,2,285,286,283,273,274,271,N/R,N/R,N/R,10,10,10,4%,4%,5%,1%,1%,1%,1%,<1%,1%,95%,95%,94%,96%,96%,96%,N/R,N/R,N/R,4%,3%,4%,55,147,75,8,0,202,21,156,91,17,1,177,43,120,78,36,6,163,19%,52%,26%,3%,0%,71%,7%,55%,32%,6%,<1%,62%,15%,42%,28%,13%,2%,58%,149,150,147,23,77,44,5,0,100,10,74,53,12,1,84,23,62,39,19,4,85,135,135,135,32,69,31,3,0,101,10,82,38,5,0,92,19,58,39,17,2,77
28053,B,en,3,1,28053,Rainy River DSB,,,1,0,139,139,139,5,5,5,0,0,0,1,0,1,133,134,133,132,133,132,N/R,N/R,N/R,N/R,N/R,N/R,4%,4%,4%,0%,0%,0%,1%,0%,1%,96%,96%,96%,99%,99%,99%,N/R,N/R,N/R,N/R,N/R,N/R,17,67,46,3,0,84,5,60,61,8,0,65,13,51,51,17,1,64,13%,50%,35%,2%,0%,63%,4%,45%,46%,6%,0%,49%,10%,38%,38%,13%,1%,48%,67,67,67,7,34,24,2,0,41,2,27,33,5,0,29,6,32,20,8,1,38,66,67,66,10,33,22,1,0,43,3,33,28,3,0,36,7,19,31,9,0,26
28061,B,en,3,1,28061,Lakehead DSB,,,1,0,639,639,639,26,26,26,0,0,0,12,12,12,601,601,601,580,580,580,16,16,16,N/R,N/R,N/R,4%,4%,4%,0%,0%,0%,2%,2%,2%,94%,94%,94%,97%,97%,97%,3%,3%,3%,N/R,N/R,N/R,153,337,108,3,0,490,43,383,161,13,1,426,124,302,142,29,4,426,25%,56%,18%,<1%,0%,82%,7%,64%,27%,2%,<1%,71%,21%,50%,24%,5%,1%,71%,306,306,306,72,171,60,3,0,243,19,187,91,9,0,206,70,155,62,18,1,225,294,294,294,81,165,48,0,0,246,24,195,70,4,1,219,54,146,80,11,3,200
28070,B,en,3,1,28070,Superior-Greenstone DSB,,,1,0,60,60,60,5,5,5,0,0,0,1,1,1,54,54,54,51,51,51,N/R,N/R,N/R,N/R,N/R,N/R,8%,8%,8%,0%,0%,0%,2%,2%,2%,90%,90%,90%,94%,94%,94%,N/R,N/R,N/R,N/R,N/R,N/R,7,27,19,1,0,34,0,28,21,4,1,28,7,26,16,4,1,33,13%,50%,35%,2%,0%,63%,0%,52%,39%,7%,2%,52%,13%,48%,30%,7%,2%,61%,29,29,29,3,17,8,1,0,20,0,14,13,1,1,14,3,16,8,2,0,19,25,25,25,4,10,11,0,0,14,0,14,8,3,0,14,4,10,8,2,1,14
28100,B,fr,3,1,28100,Le C.S. public du Nord-Est de l'Ontario,,,1,0,165,165,165,2,2,2,0,0,0,3,3,3,160,160,160,65,65,65,94,94,94,S. R.,S. R.,S. R.,1%,1%,1%,0%,0%,0%,2%,2%,2%,97%,97%,97%,41%,41%,41%,59%,59%,59%,S. R.,S. R.,S. R.,11,76,71,2,0,87,6,59,74,19,2,65,25,72,52,11,0,97,7%,48%,44%,1%,0%,54%,4%,37%,46%,12%,1%,41%,16%,45%,32%,7%,0%,61%,83,83,83,4,36,42,1,0,40,2,27,39,13,2,29,13,40,24,6,0,53,77,77,77,7,40,29,1,0,47,4,32,35,6,0,36,12,32,28,5,0,44
28118,B,fr,3,1,28118,Conseil scolaire du Grand Nord,,,1,0,210,210,210,10,10,10,0,0,0,2,2,1,198,198,199,95,94,95,102,103,103,S. R.,S. R.,S. R.,5%,5%,5%,0%,0%,0%,1%,1%,<1 %,94%,94%,95%,48%,47%,48%,52%,52%,52%,S. R.,S. R.,S. R.,26,91,78,3,0,117,12,85,72,27,2,97,28,102,60,7,2,130,13%,46%,39%,2%,0%,59%,6%,43%,36%,14%,1%,49%,14%,51%,30%,4%,1%,65%,94,95,95,14,46,32,2,0,60,5,44,28,18,0,49,17,43,29,5,1,60,104,103,104,12,45,46,1,0,57,7,41,44,9,2,48,11,59,31,2,1,70
29009,B,en,3,1,29009,Northeastern Catholic DSB,,,1,0,213,213,213,3,3,3,0,0,0,0,0,0,210,210,210,204,204,204,N/R,N/R,N/R,N/R,N/R,N/R,1%,1%,1%,0%,0%,0%,0%,0%,0%,99%,99%,99%,97%,97%,97%,N/R,N/R,N/R,N/R,N/R,N/R,15,115,76,4,0,130,3,94,97,16,0,97,18,84,74,30,4,102,7%,55%,36%,2%,0%,62%,1%,45%,46%,8%,0%,46%,9%,40%,35%,14%,2%,49%,122,122,122,5,70,45,2,0,75,1,53,57,11,0,54,17,48,38,16,3,65,88,88,88,10,45,31,2,0,55,2,41,40,5,0,43,1,36,36,14,1,37
29017,B,en,3,1,29017,Nipissing-Parry Sound Catholic DSB,,,1,0,201,201,201,11,10,10,0,1,1,3,1,1,187,189,189,184,186,186,N/R,N/R,N/R,N/R,N/R,N/R,5%,5%,5%,0%,<1%,<1%,1%,<1%,<1%,93%,94%,94%,98%,98%,98%,N/R,N/R,N/R,N/R,N/R,N/R,22,104,58,3,0,126,3,91,87,8,0,94,14,100,59,16,0,114,12%,56%,31%,2%,0%,67%,2%,48%,46%,4%,0%,50%,7%,53%,31%,8%,0%,60%,83,84,84,8,41,32,2,0,49,1,40,37,6,0,41,9,43,25,7,0,52,104,105,105,14,63,26,1,0,77,2,51,50,2,0,53,5,57,34,9,0,62
29025,B,en,3,1,29025,Huron-Superior Catholic DSB,,,1,0,334,334,334,20,20,19,0,0,0,3,1,1,311,313,314,302,304,305,N/R,N/R,N/R,N/R,N/R,N/R,6%,6%,6%,0%,0%,0%,1%,<1%,<1%,93%,94%,94%,97%,97%,97%,N/R,N/R,N/R,N/R,N/R,N/R,42,158,105,6,0,200,6,160,125,22,0,166,30,127,110,45,2,157,14%,51%,34%,2%,0%,64%,2%,51%,40%,7%,0%,53%,10%,40%,35%,14%,1%,50%,152,154,155,12,79,59,2,0,91,2,69,73,10,0,71,17,68,53,17,0,85,159,159,159,30,79,46,4,0,109,4,91,52,12,0,95,13,59,57,28,2,72
29033,B,en,3,1,29033,Sudbury Catholic DSB,,,1,0,442,442,442,10,10,10,0,0,0,2,2,3,430,430,429,398,398,397,31,31,31,N/R,N/R,N/R,2%,2%,2%,0%,0%,0%,<1%,<1%,1%,97%,97%,97%,93%,93%,93%,7%,7%,7%,N/R,N/R,N/R,51,228,140,11,0,279,14,218,180,18,0,232,31,149,172,70,7,180,12%,53%,33%,3%,0%,65%,3%,51%,42%,4%,0%,54%,7%,35%,40%,16%,2%,42%,220,220,220,16,112,84,8,0,128,4,100,104,12,0,104,21,79,80,37,3,100,210,210,209,35,116,56,3,0,151,10,118,76,6,0,128,10,70,92,33,4,80
29041,B,en,3,1,29041,Northwest Catholic DSB,,,1,0,123,123,123,1,1,1,0,0,0,1,1,1,121,121,121,116,116,116,N/R,N/R,N/R,N/R,N/R,N/R,1%,1%,1%,0%,0%,0%,1%,1%,1%,98%,98%,98%,96%,96%,96%,N/R,N/R,N/R,N/R,N/R,N/R,24,70,24,3,0,94,7,79,30,4,1,86,13,54,44,9,1,67,20%,58%,20%,2%,0%,78%,6%,65%,25%,3%,1%,71%,11%,45%,36%,7%,1%,55%,62,62,62,11,36,13,2,0,47,3,40,15,3,1,43,9,30,18,4,1,39,59,59,59,13,34,11,1,0,47,4,39,15,1,0,43,4,24,26,5,0,28
29050,B,en,3,1,29050,Kenora Catholic DSB,,,1,0,83,83,83,1,1,1,0,0,0,0,0,0,82,82,82,81,81,81,N/R,N/R,N/R,N/R,N/R,N/R,1%,1%,1%,0%,0%,0%,0%,0%,0%,99%,99%,99%,99%,99%,99%,N/R,N/R,N/R,N/R,N/R,N/R,19,45,18,0,0,64,1,59,18,4,0,60,5,41,23,10,3,46,23%,55%,22%,0%,0%,78%,1%,72%,22%,5%,0%,73%,6%,50%,28%,12%,4%,56%,37,37,37,7,18,12,0,0,25,0,24,11,2,0,24,3,22,5,4,3,25,45,45,45,12,27,6,0,0,39,1,35,7,2,0,36,2,19,18,6,0,21
29068,B,en,3,1,29068,Thunder Bay Catholic DSB,,,1,0,453,453,453,15,15,15,0,0,0,0,0,0,438,438,438,381,381,380,22,22,23,35,35,35,3%,3%,3%,0%,0%,0%,0%,0%,0%,97%,97%,97%,87%,87%,87%,5%,5%,5%,8%,8%,8%,91,250,92,5,0,341,18,267,141,10,2,285,47,223,136,28,4,270,21%,57%,21%,1%,0%,78%,4%,61%,32%,2%,<1%,65%,11%,51%,31%,6%,1%,62%,210,210,209,33,115,59,3,0,148,8,118,77,6,1,126,29,102,65,12,1,131,228,228,229,58,135,33,2,0,193,10,149,64,4,1,159,18,121,71,16,3,139
29076,B,en,3,1,29076,Superior North Catholic DSB,,,1,0,87,87,87,4,4,4,0,0,0,3,2,2,80,81,81,76,77,77,N/R,N/R,N/R,N/R,N/R,N/R,5%,5%,5%,0%,0%,0%,3%,2%,2%,92%,93%,93%,95%,95%,95%,N/R,N/R,N/R,N/R,N/R,N/R,6,45,27,2,0,51,1,35,39,6,0,36,5,34,33,8,1,39,8%,56%,34%,2%,0%,64%,1%,43%,48%,7%,0%,44%,6%,42%,41%,10%,1%,48%,39,40,40,3,25,10,1,0,28,1,15,22,2,0,16,4,18,16,2,0,22,41,41,41,3,20,17,1,0,23,0,20,17,4,0,20,1,16,17,6,1,17
29106,B,fr,3,1,29106,Le C.S.C.D. des Grandes Rivières,,,1,0,375,375,375,4,4,4,1,1,1,1,0,0,369,370,370,230,231,231,138,138,138,S. R.,S. R.,S. R.,1%,1%,1%,<1 %,<1 %,<1 %,<1 %,0%,0%,98%,99%,99%,62%,62%,62%,37%,37%,37%,S. R.,S. R.,S. R.,34,190,137,8,0,224,17,165,137,41,10,182,59,181,112,18,0,240,9%,51%,37%,2%,0%,61%,5%,45%,37%,11%,3%,49%,16%,49%,30%,5%,0%,65%,181,181,181,18,86,73,4,0,104,5,72,75,24,5,77,35,88,49,9,0,123,188,189,189,16,104,64,4,0,120,12,93,62,17,5,105,24,93,63,9,0,117
29114,B,fr,3,1,29114,Le C.S. catholique Franco-Nord,,,1,0,165,165,165,7,6,6,0,0,0,0,1,1,158,158,158,80,80,80,77,77,77,S. R.,S. R.,S. R.,4%,4%,4%,0%,0%,0%,0%,1%,1%,96%,96%,96%,51%,51%,51%,49%,49%,49%,S. R.,S. R.,S. R.,12,86,60,0,0,98,14,78,57,8,1,92,38,80,38,2,0,118,8%,54%,38%,0%,0%,62%,9%,49%,36%,5%,1%,58%,24%,51%,24%,1%,0%,75%,77,77,77,5,42,30,0,0,47,6,38,28,5,0,44,22,40,14,1,0,62,81,81,81,7,44,30,0,0,51,8,40,29,3,1,48,16,40,24,1,0,56
29122,B,fr,3,1,29122,Conseil scolaire catholique Nouvelon,,,1,0,422,422,422,8,8,7,0,0,0,3,2,2,411,412,413,177,178,179,148,148,148,86,86,86,2%,2%,2%,0%,0%,0%,1%,<1 %,<1 %,97%,98%,98%,43%,43%,43%,36%,36%,36%,21%,21%,21%,43,193,158,17,0,236,39,181,137,46,9,220,62,230,102,19,0,292,10%,47%,38%,4%,0%,57%,9%,44%,33%,11%,2%,53%,15%,56%,25%,5%,0%,71%,199,200,201,13,94,79,13,0,107,13,87,69,24,7,100,33,118,42,8,0,151,212,212,212,30,99,79,4,0,129,26,94,68,22,2,120,29,112,60,11,0,141
29130,B,fr,3,1,29130,Le C.S.D.C. des Aurores boréales,,,1,0,60,60,60,0,0,0,0,0,0,1,0,0,59,60,60,10,10,10,47,48,48,S. R.,S. R.,S. R.,0%,0%,0%,0%,0%,0%,2%,0%,0%,98%,100%,100%,17%,17%,17%,80%,80%,80%,S. R.,S. R.,S. R.,9,28,22,0,0,37,5,26,26,2,1,31,10,26,21,3,0,36,15%,47%,37%,0%,0%,63%,8%,43%,43%,3%,2%,52%,17%,43%,35%,5%,0%,60%,31,32,32,4,17,10,0,0,21,4,14,11,2,1,18,8,14,9,1,0,22,28,28,28,5,11,12,0,0,16,1,12,15,0,0,13,2,12,12,2,0,14
66001,B,en,3,1,66001,Bluewater DSB,,,1,0,1339,1339,1339,51,51,52,3,3,3,20,18,20,1265,1267,1264,1140,1142,1139,101,101,101,24,24,24,4%,4%,4%,<1%,<1%,<1%,1%,1%,1%,94%,95%,94%,90%,90%,90%,8%,8%,8%,2%,2%,2%,189,667,388,21,0,856,34,685,489,56,3,719,168,610,347,123,16,778,15%,53%,31%,2%,0%,68%,3%,54%,39%,4%,<1%,57%,13%,48%,27%,10%,1%,62%,656,658,658,77,327,237,15,0,404,7,317,290,41,3,324,105,305,174,62,12,410,608,608,605,111,340,151,6,0,451,26,368,199,15,0,394,62,305,173,61,4,367
66010,B,en,3,1,66010,Avon Maitland DSB,,,1,0,1070,1070,1070,20,20,20,1,1,1,5,2,2,1044,1047,1047,998,1001,1001,44,44,44,N/R,N/R,N/R,2%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,98%,98%,98%,96%,96%,96%,4%,4%,4%,N/R,N/R,N/R,216,557,254,17,0,773,46,629,336,36,0,675,197,506,260,80,4,703,21%,53%,24%,2%,0%,74%,4%,60%,32%,3%,0%,64%,19%,48%,25%,8%,<1%,67%,524,526,527,79,288,146,11,0,367,15,297,191,23,0,312,106,250,127,42,2,356,520,521,520,137,269,108,6,0,406,31,332,145,13,0,363,91,256,133,38,2,347
66028,B,en,3,1,66028,Greater Essex County DSB,,,1,0,2403,2403,2403,303,305,293,3,3,3,21,14,24,2076,2081,2083,1669,1674,1668,388,387,396,19,20,19,13%,13%,12%,<1%,<1%,<1%,1%,1%,1%,86%,87%,87%,80%,80%,80%,19%,19%,19%,1%,1%,1%,445,1069,538,24,0,1514,98,1242,676,64,1,1340,324,958,605,177,19,1282,21%,51%,26%,1%,0%,73%,5%,60%,32%,3%,<1%,64%,16%,46%,29%,8%,1%,62%,1073,1074,1078,216,536,304,17,0,752,31,622,375,45,1,653,216,503,272,77,10,719,1003,1007,1005,229,533,234,7,0,762,67,620,301,19,0,687,108,455,333,100,9,563
66036,B,en,3,1,66036,Lambton Kent District School Board,,,1,0,1453,1453,1453,31,29,29,2,2,2,7,8,7,1413,1414,1415,1349,1350,1351,51,51,51,13,13,13,2%,2%,2%,<1%,<1%,<1%,<1%,1%,<1%,97%,97%,97%,95%,95%,95%,4%,4%,4%,1%,1%,1%,230,758,403,22,0,988,56,727,545,80,6,783,197,623,451,122,22,820,16%,54%,29%,2%,0%,70%,4%,51%,39%,6%,<1%,55%,14%,44%,32%,9%,2%,58%,734,734,735,103,393,218,20,0,496,23,361,304,43,3,384,118,333,228,45,11,451,678,679,679,127,364,185,2,0,491,33,366,240,37,3,399,79,289,223,77,11,368
66044,B,en,3,1,66044,Thames Valley District School Board,,,1,0,5723,5723,5723,256,255,250,8,8,8,91,78,86,5368,5382,5379,4473,4482,4479,849,852,854,46,48,46,4%,4%,4%,<1%,<1%,<1%,2%,1%,2%,94%,94%,94%,83%,83%,83%,16%,16%,16%,1%,1%,1%,968,2612,1649,138,1,3580,215,2822,1984,334,27,3037,877,2326,1497,592,87,3203,18%,49%,31%,3%,<1%,67%,4%,52%,37%,6%,1%,56%,16%,43%,28%,11%,2%,60%,2752,2756,2760,438,1280,941,92,1,1718,87,1342,1096,212,19,1429,545,1196,711,261,47,1741,2616,2626,2619,530,1332,708,46,0,1862,128,1480,888,122,8,1608,332,1130,786,331,40,1462
66052,B,en,3,1,66052,Toronto DSB,,,1,0,13467,13467,15213,656,646,601,73,77,77,240,193,223,12498,12551,14312,8315,8355,9846,3953,3964,4230,230,232,236,5%,5%,4%,1%,1%,1%,2%,1%,1%,93%,93%,94%,67%,67%,69%,32%,32%,30%,2%,2%,2%,2752,6154,3290,299,3,8906,809,6996,4085,615,46,7805,2647,6129,3966,1363,207,8776,22%,49%,26%,2%,<1%,71%,6%,56%,33%,5%,<1%,62%,18%,43%,28%,10%,1%,61%,6348,6376,7193,1207,3071,1859,209,2,4278,327,3380,2262,376,31,3707,1583,3090,1812,606,102,4673,6142,6167,7108,1543,3079,1429,90,1,4622,482,3610,1821,239,15,4092,1062,3032,2153,756,105,4094
66060,B,en,3,1,66060,Durham DSB,,,1,0,4771,4771,5570,190,190,186,4,4,4,48,44,43,4529,4533,5337,3385,3389,4040,1079,1079,1232,65,65,65,4%,4%,3%,<1%,<1%,<1%,1%,1%,1%,95%,95%,96%,75%,75%,76%,24%,24%,23%,1%,1%,1%,905,2442,1109,73,0,3347,270,2639,1420,187,17,2909,957,2519,1413,390,58,3476,20%,54%,24%,2%,0%,74%,6%,58%,31%,4%,<1%,64%,18%,47%,26%,7%,1%,65%,2337,2343,2715,373,1251,667,46,0,1624,96,1269,854,112,12,1365,561,1294,663,168,29,1855,2189,2187,2619,530,1191,441,27,0,1721,174,1368,566,74,5,1542,394,1224,750,222,29,1618
66079,B,en,3,1,66079,Kawartha Pine Ridge DSB,,,1,0,2730,2730,2730,54,54,54,6,6,6,26,18,19,2644,2652,2651,2479,2487,2486,148,148,148,17,17,17,2%,2%,2%,<1%,<1%,<1%,1%,1%,1%,97%,97%,97%,94%,94%,94%,6%,6%,6%,1%,1%,1%,462,1459,677,46,0,1921,81,1528,931,107,5,1609,315,1234,829,239,34,1549,17%,55%,26%,2%,0%,73%,3%,58%,35%,4%,<1%,61%,12%,47%,31%,9%,1%,58%,1365,1367,1367,186,762,382,35,0,948,37,717,543,67,3,754,202,654,380,116,15,856,1275,1281,1280,274,696,294,11,0,970,44,808,387,40,2,852,113,578,447,123,19,691
66087,B,en,3,1,66087,Trillium Lakelands DSB,,,1,0,1246,1246,1246,36,35,33,0,0,0,10,8,13,1200,1203,1200,1183,1186,1183,12,12,12,N/R,N/R,N/R,3%,3%,3%,0%,0%,0%,1%,1%,1%,96%,97%,96%,99%,99%,99%,1%,1%,1%,N/R,N/R,N/R,291,670,234,5,0,961,90,741,352,20,0,831,324,534,265,71,6,858,24%,56%,20%,<1%,0%,80%,7%,62%,29%,2%,0%,69%,27%,44%,22%,6%,<1%,72%,612,614,613,127,357,125,3,0,484,41,363,197,13,0,404,188,265,129,29,2,453,587,588,586,164,312,109,2,0,476,49,377,155,7,0,426,135,269,136,42,4,404
66095,B,en,3,1,66095,York Region DSB,,,1,0,6795,6795,8213,295,294,258,16,16,16,96,74,85,6388,6411,7854,3135,3149,3915,3085,3094,3760,168,168,179,4%,4%,3%,<1%,<1%,<1%,1%,1%,1%,94%,94%,96%,49%,49%,50%,48%,48%,48%,3%,3%,2%,1556,3390,1360,82,0,4946,508,3990,1738,164,11,4498,1830,3856,1745,382,41,5686,24%,53%,21%,1%,0%,77%,8%,62%,27%,3%,<1%,70%,23%,49%,22%,5%,1%,72%,3345,3358,4006,671,1800,815,59,0,2471,199,1968,1075,106,10,2167,1058,1953,806,173,16,3011,3043,3053,3847,885,1590,545,23,0,2475,309,2022,663,58,1,2331,772,1902,939,209,25,2674
