OrgID,OrgType,Language,Grade,ApplySuppression,BoardMident,BoardName,SchoolMident,SchoolName,FundingType,Suppressed,cntStudents_Read,cntStudents_Write,cntStudents_Math,cntExempted_Read,cntExempted_Write,cntExempted_Math,cntAbsent_Read,cntAbsent_Write,cntAbsent_Math,cntNoData_Read,cntNoData_Write,cntNoData_Math,cntFullyParticipating_Read,cntFullyParticipating_Write,cntFullyParticipating_Math,cntFirstLang_Read,cntFirstLang_Write,cntFirstLang_Math,cntFirstLang_Other_Read,cntFirstLang_Other_Write,cntFirstLang_Other_Math,cntFirstLang_NoData_Read,cntFirstLang_NoData_Write,cntFirstLang_NoData_Math,pctExempted_Read,pctExempted_Write,pctExempted_Math,pctAbsent_Read,pctAbsent_Write,pctAbsent_Math,pctNoData_Read,pctNoData_Write,pctNoData_Math,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctFirstLang_Read,pctFirstLang_Write,pctFirstLang_Math,pctFirstLang_Other_Read,pctFirstLang_Other_Write,pctFirstLang_Other_Math,pctFirstLang_NoData_Read,pctFirstLang_NoData_Write,pctFirstLang_NoData_Math,cntOverallR_L4,cntOverallR_L3,cntOverallR_L2,cntOverallR_L1,cntOverallR_NE1,cntOverallR_L34,cntOverallW_L4,cntOverallW_L3,cntOverallW_L2,cntOverallW_L1,cntOverallW_NE1,cntOverallW_L34,cntOverallM_L4,cntOverallM_L3,cntOverallM_L2,cntOverallM_L1,cntOverallM_NE1,cntOverallM_L34,pctOverallR_L4,pctOverallR_L3,pctOverallR_L2,pctOverallR_L1,pctOverallR_NE1,pctOverallR_L34,pctOverallW_L4,pctOverallW_L3,pctOverallW_L2,pctOverallW_L1,pctOverallW_NE1,pctOverallW_L34,pctOverallM_L4,pctOverallM_L3,pctOverallM_L2,pctOverallM_L1,pctOverallM_NE1,pctOverallM_L34,cntOverallR_G1_Part,cntOverallW_G1_Part,cntOverallM_G1_Part,cntOverallR_G1_L4,cntOverallR_G1_L3,cntOverallR_G1_L2,cntOverallR_G1_L1,cntOverallR_G1_NE1,cntOverallR_G1_L34,cntOverallW_G1_L4,cntOverallW_G1_L3,cntOverallW_G1_L2,cntOverallW_G1_L1,cntOverallW_G1_NE1,cntOverallW_G1_L34,cntOverallM_G1_L4,cntOverallM_G1_L3,cntOverallM_G1_L2,cntOverallM_G1_L1,cntOverallM_G1_NE1,cntOverallM_G1_L34,cntOverallR_G2_Part,cntOverallW_G2_Part,cntOverallM_G2_Part,cntOverallR_G2_L4,cntOverallR_G2_L3,cntOverallR_G2_L2,cntOverallR_G2_L1,cntOverallR_G2_NE1,cntOverallR_G2_L34,cntOverallW_G2_L4,cntOverallW_G2_L3,cntOverallW_G2_L2,cntOverallW_G2_L1,cntOverallW_G2_NE1,cntOverallW_G2_L34,cntOverallM_G2_L4,cntOverallM_G2_L3,cntOverallM_G2_L2,cntOverallM_G2_L1,cntOverallM_G2_NE1,cntOverallM_G2_L34
476650,S,en,3,1,66125,Peel District School Board,476650,Ray Underhill PS,1,0,30,30,30,0,0,0,0,0,0,2,2,2,28,28,28,20,20,20,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,7%,7%,7%,93%,93%,93%,71%,71%,71%,N/R,N/R,N/R,N/R,N/R,N/R,7,15,5,1,0,22,0,18,8,1,1,18,6,11,5,6,0,17,25%,54%,18%,4%,0%,79%,0%,64%,29%,4%,4%,64%,21%,39%,18%,21%,0%,61%,15,15,15,5,8,2,0,0,13,0,8,6,1,0,8,4,5,3,3,0,9,13,13,13,2,7,3,1,0,9,0,10,2,0,1,10,2,6,2,3,0,8
476773,S,en,3,1,66141,Hamilton-Wentworth DSB,476773,Ray Lewis S,1,0,51,51,51,3,3,3,0,0,0,0,0,1,48,48,47,26,26,25,21,21,21,N/R,N/R,N/R,6%,6%,6%,0%,0%,0%,0%,0%,2%,94%,94%,92%,54%,54%,53%,44%,44%,45%,N/R,N/R,N/R,5,26,17,0,0,31,0,24,22,2,0,24,1,15,21,10,0,16,10%,54%,35%,0%,0%,65%,0%,50%,46%,4%,0%,50%,2%,32%,45%,21%,0%,34%,18,18,18,2,9,7,0,0,11,0,10,8,0,0,10,1,8,7,2,0,9,30,30,29,3,17,10,0,0,20,0,14,14,2,0,14,0,7,14,8,0,7
477283,S,en,3,1,66117,Upper Grand DSB,477283,Spencer Avenue ES,1,0,32,32,32,0,0,0,0,0,0,0,0,1,32,32,31,28,28,27,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,3%,100%,100%,97%,88%,88%,87%,N/R,N/R,N/R,N/R,N/R,N/R,13,11,7,1,0,24,0,23,8,0,1,23,2,20,6,3,0,22,41%,34%,22%,3%,0%,75%,0%,72%,25%,0%,3%,72%,6%,65%,19%,10%,0%,71%,18,18,17,6,5,6,1,0,11,0,12,5,0,1,12,1,9,4,3,0,10,14,14,14,7,6,1,0,0,13,0,11,3,0,0,11,1,11,2,0,0,12
477303,S,en,3,1,66060,Durham DSB,477303,Prince Albert PS,1,0,25,25,25,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,N/R,N/R,N/R,N/R,N/R,N/R,3,16,6,0,0,19,0,17,7,1,0,17,1,14,7,3,0,15,12%,64%,24%,0%,0%,76%,0%,68%,28%,4%,0%,68%,4%,56%,28%,12%,0%,60%,12,12,12,1,9,2,0,0,10,0,8,3,1,0,8,1,8,2,1,0,9,13,13,13,2,7,4,0,0,9,0,9,4,0,0,9,0,6,5,2,0,6
477416,S,en,3,1,66117,Upper Grand DSB,477416,John Galt,1,0,24,24,24,1,1,1,0,0,0,0,0,0,23,23,23,20,20,20,N/R,N/R,N/R,N/R,N/R,N/R,4%,4%,4%,0%,0%,0%,0%,0%,0%,96%,96%,96%,87%,87%,87%,N/R,N/R,N/R,N/R,N/R,N/R,4,12,7,0,0,16,4,8,9,2,0,12,5,6,7,5,0,11,17%,52%,30%,0%,0%,70%,17%,35%,39%,9%,0%,52%,22%,26%,30%,22%,0%,48%,11,11,11,1,4,6,0,0,5,2,3,4,2,0,5,2,2,4,3,0,4,12,12,12,3,8,1,0,0,11,2,5,5,0,0,7,3,4,3,2,0,7
477435,S,en,3,1,66060,Durham DSB,477435,Greenbank PS,1,0,18,18,18,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,N/R,N/R,N/R,N/R,N/R,N/R,12,6,0,0,0,18,1,16,1,0,0,17,10,7,1,0,0,17,67%,33%,0%,0%,0%,100%,6%,89%,6%,0%,0%,94%,56%,39%,6%,0%,0%,94%,10,10,10,8,2,0,0,0,10,1,9,0,0,0,10,9,1,0,0,0,10,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
478084,S,en,3,1,66222,Hastings and Prince Edward DSB,478084,Stirling Public School,1,0,76,76,76,0,0,0,0,0,0,0,0,0,76,76,76,74,74,74,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,97%,97%,97%,N/R,N/R,N/R,N/R,N/R,N/R,28,34,13,1,0,62,5,53,16,1,1,58,19,39,15,3,0,58,37%,45%,17%,1%,0%,82%,7%,70%,21%,1%,1%,76%,25%,51%,20%,4%,0%,76%,42,42,42,12,20,9,1,0,32,1,27,13,0,1,28,11,21,8,2,0,32,34,34,34,16,14,4,0,0,30,4,26,3,1,0,30,8,18,7,1,0,26
478133,S,en,3,1,66010,Avon Maitland DSB,478133,Goderich Public School,1,0,70,70,70,0,0,0,0,0,0,0,0,0,70,70,70,69,69,69,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,99%,99%,99%,N/R,N/R,N/R,N/R,N/R,N/R,26,32,12,0,0,58,9,42,19,0,0,51,17,36,13,4,0,53,37%,46%,17%,0%,0%,83%,13%,60%,27%,0%,0%,73%,24%,51%,19%,6%,0%,76%,32,32,32,12,13,7,0,0,25,2,23,7,0,0,25,8,19,5,0,0,27,38,38,38,14,19,5,0,0,33,7,19,12,0,0,26,9,17,8,4,0,26
478997,S,en,3,1,28045,Keewatin-Patricia DSB,478997,Red Lake Madsen PS,1,0,15,15,15,0,0,0,0,0,0,0,0,0,15,15,15,14,14,14,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,93%,93%,93%,N/R,N/R,N/R,N/R,N/R,N/R,8,6,0,1,0,14,1,12,1,1,0,13,7,7,0,0,1,14,53%,40%,0%,7%,0%,93%,7%,80%,7%,7%,0%,87%,47%,47%,0%,0%,7%,93%,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
479063,S,en,3,1,66095,York Region DSB,479063,Red Maple PS,1,0,51,51,51,0,0,0,1,1,1,2,2,2,48,48,48,18,18,18,28,28,28,N/R,N/R,N/R,0%,0%,0%,2%,2%,2%,4%,4%,4%,94%,94%,94%,38%,38%,38%,58%,58%,58%,N/R,N/R,N/R,7,25,14,2,0,32,2,21,23,2,0,23,3,28,13,4,0,31,15%,52%,29%,4%,0%,67%,4%,44%,48%,4%,0%,48%,6%,58%,27%,8%,0%,65%,30,30,30,4,14,11,1,0,18,0,12,16,2,0,12,2,16,11,1,0,18,18,18,18,3,11,3,1,0,14,2,9,7,0,0,11,1,12,2,3,0,13
479403,S,en,3,1,28029,Rainbow District School Board,479403,Redwood Acres PS,1,0,47,47,47,4,4,4,1,1,1,0,0,0,42,42,42,42,42,42,N/R,N/R,N/R,N/R,N/R,N/R,9%,9%,9%,2%,2%,2%,0%,0%,0%,89%,89%,89%,100%,100%,100%,N/R,N/R,N/R,N/R,N/R,N/R,7,20,15,0,0,27,1,24,16,1,0,25,8,14,15,4,1,22,17%,48%,36%,0%,0%,64%,2%,57%,38%,2%,0%,60%,19%,33%,36%,10%,2%,52%,20,20,20,4,6,10,0,0,10,0,11,9,0,0,11,4,6,9,0,1,10,22,22,22,3,14,5,0,0,17,1,13,7,1,0,14,4,8,6,4,0,12
479454,S,en,3,1,66095,York Region DSB,479454,Reesor Park PS,1,0,19,19,60,0,0,0,0,0,0,0,0,1,19,19,59,12,12,38,N/R,N/R,21,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,2%,100%,100%,98%,63%,63%,64%,N/R,N/R,36%,N/R,N/R,N/R,3,9,6,1,0,12,0,12,7,0,0,12,22,28,6,3,0,50,16%,47%,32%,5%,0%,63%,0%,63%,37%,0%,0%,63%,37%,47%,10%,5%,0%,85%,13,13,31,1,6,5,1,0,7,0,8,5,0,0,8,13,15,1,2,0,28,N/R,N/R,28,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,9,13,5,1,0,22
